round,count
1,6661
2,7439
3,4152
4,4786
5,1915
6,2428
7,4096
8,4883
9,7008
10,7274
11,4651
12,3895
13,5027
14,6178
15,3481
16,8272
17,2327
18,3650
19,3498
20,3980
21,5407
22,6669
23,3815
24,6054
25,5464
26,2852
27,3306
28,4842
29,4166
30,7191
31,5002
32,3549
33,3943
34,3031
35,6673
36,4396
37,4150
38,5900
39,5936
40,1935
41,2934
42,5163
43,4703
44,6691
45,5258
46,3264
47,4607
48,4632
49,3222
50,6865
51,2953
52,5601
53,3445
54,6055
55,5420
56,3020
57,6409
58,4734
59,3840
60,2426
61,4998
62,3575
63,3709
64,5504
65,6797
66,4837
67,3735
68,2212
69,7045
70,2979
71,3880
72,903
73,3429
74,2879
75,5265
76,2695
77,6003
78,3180
79,920
80,4272
81,3097
82,6456
83,3093
84,3322
85,2167
86,4604
87,2355
88,2496
89,4504
90,5014
91,1848
92,4462
93,3791
94,2575
95,4923
96,4231
97,3132
98,3479
99,5953
100,4377
