round,total_numsym
1,76264
2,86793
3,47582
4,56012
5,22398
6,28373
7,46691
8,56883
9,81444
10,82581
11,54466
12,45408
13,57809
14,70455
15,40394
16,96148
17,27292
18,42654
19,40687
20,45652
21,62546
22,77924
23,44793
24,70135
25,63802
26,33077
27,38496
28,55629
29,48495
30,82643
31,57559
32,41545
33,46121
34,35209
35,78122
36,50969
37,47962
38,67754
39,68815
40,22697
41,34177
42,60252
43,54513
44,75510
45,60216
46,37563
47,52887
48,53229
49,37569
50,79241
51,34426
52,65393
53,39735
54,70019
55,62562
56,35060
57,73732
58,54286
59,44227
60,28273
61,58087
62,41485
63,42919
64,64610
65,79391
66,56323
67,43607
68,25776
69,81809
70,34798
71,44950
72,10616
73,39560
74,33792
75,61132
76,31331
77,69942
78,36969
79,10812
80,48965
81,36177
82,74426
83,35845
84,38747
85,25477
86,53192
87,27534
88,28418
89,52654
90,58589
91,21612
92,52076
93,43857
94,30061
95,57319
96,48968
97,36044
98,40512
99,69008
100,50032
