round,ndi0_count,ndi1_count
1,222,6439
2,119,7320
3,375,3777
4,134,4652
5,139,1776
6,162,2266
7,380,3716
8,335,4548
9,313,6695
10,772,6502
11,144,4507
12,426,3469
13,405,4622
14,455,5723
15,547,2934
16,274,7998
17,89,2238
18,179,3471
19,340,3158
20,379,3601
21,216,5191
22,224,6445
23,141,3674
24,193,5861
25,246,5218
26,294,2558
27,271,3035
28,486,4356
29,228,3938
30,383,6808
31,477,4525
32,217,3332
33,250,3693
34,391,2640
35,321,6352
36,294,4102
37,353,3797
38,423,5477
39,696,5240
40,94,1841
41,110,2824
42,211,4952
43,326,4377
44,692,5999
45,546,4712
46,428,2836
47,498,4109
48,341,4291
49,329,2893
50,214,6651
51,133,2820
52,337,5264
53,423,3022
54,491,5564
55,339,5081
56,237,2783
57,372,6037
58,489,4245
59,243,3597
60,353,2073
61,358,4640
62,350,3225
63,174,3535
64,97,5407
65,287,6510
66,449,4388
67,262,3473
68,350,1862
69,262,6783
70,287,2692
71,419,3461
72,0,903
73,418,3011
74,93,2786
75,277,4988
76,159,2536
77,173,5830
78,352,2828
79,1,919
80,482,3790
81,183,2914
82,250,6206
83,208,2885
84,302,3020
85,20,2147
86,471,4133
87,187,2168
88,223,2273
89,405,4099
90,357,4657
91,181,1667
92,430,4032
93,349,3442
94,94,2481
95,180,4743
96,326,3905
97,192,2940
98,281,3198
99,415,5538
100,469,3908
