round,count
1,8123
2,6894
3,8075
4,5549
5,8761
6,7604
7,7609
8,6594
9,6133
10,8268
11,8206
12,7059
13,5602
14,7484
15,5379
16,4845
17,8015
18,7422
19,6699
20,6508
21,9029
22,7053
23,8167
24,6928
25,6568
26,5313
27,7771
28,4612
29,7318
30,5608
31,7495
32,7323
33,2404
34,7829
35,7848
36,4925
37,4043
38,5466
39,9292
40,4658
41,3197
42,6780
43,5264
44,7211
45,6543
46,6215
47,4977
48,5499
49,6648
50,6665
51,4259
52,4107
53,5453
54,6051
55,4836
56,3969
57,5381
58,6509
59,7872
60,4686
61,5608
62,4662
63,3261
64,6064
65,6983
66,1925
67,4992
68,5026
69,5886
70,7076
71,8018
72,4981
73,6111
74,6676
75,6225
76,7090
77,6348
78,5883
79,4914
80,6428
81,6705
82,4895
83,5765
84,5253
85,5444
86,4759
87,6048
88,6233
89,5233
90,4754
91,2570
92,5041
93,3663
94,4189
95,5982
96,6506
97,6766
98,8209
99,3459
100,5384
