round,ndi0_count,ndi1_count
1,236,7887
2,1,6893
3,0,8075
4,5,5544
5,314,8447
6,3,7601
7,7,7602
8,187,6407
9,22,6111
10,1,8267
11,132,8074
12,260,6799
13,336,5266
14,105,7379
15,192,5187
16,283,4562
17,0,8015
18,0,7422
19,71,6628
20,210,6298
21,508,8521
22,294,6759
23,322,7845
24,200,6728
25,198,6370
26,104,5209
27,43,7728
28,149,4463
29,316,7002
30,272,5336
31,212,7283
32,47,7276
33,269,2135
34,630,7199
35,44,7804
36,176,4749
37,139,3904
38,5,5461
39,23,9269
40,153,4505
41,45,3152
42,73,6707
43,165,5099
44,185,7026
45,6,6537
46,178,6037
47,207,4770
48,177,5322
49,87,6561
50,29,6636
51,65,4194
52,314,3793
53,85,5368
54,124,5927
55,49,4787
56,30,3939
57,2,5379
58,0,6509
59,9,7863
60,74,4612
61,136,5472
62,217,4445
63,195,3066
64,130,5934
65,118,6865
66,1,1924
67,74,4918
68,125,4901
69,399,5487
70,11,7065
71,52,7966
72,4,4977
73,313,5798
74,180,6496
75,211,6014
76,44,7046
77,95,6253
78,12,5871
79,39,4875
80,10,6418
81,2,6703
82,49,4846
83,2,5763
84,77,5176
85,81,5363
86,111,4648
87,33,6015
88,133,6100
89,4,5229
90,4,4750
91,39,2531
92,163,4878
93,95,3568
94,43,4146
95,318,5664
96,216,6290
97,0,6766
98,93,8116
99,4,3455
100,2,5382
