round,total_tbSize
1,5165451
2,5074385
3,4954475
4,4051839
5,5239692
6,5062195
7,5140724
8,5686121
9,5158174
10,4969070
11,5111370
12,5813789
13,4365193
14,5201437
15,4596829
16,5305480
17,4989981
18,5080694
19,5518774
20,5204517
21,6086044
22,6007030
23,5557369
24,4701022
25,5944157
26,4692953
27,5090244
28,5053163
29,5535847
30,4859226
31,5952825
32,5242734
33,2363703
34,5427125
35,5083502
36,4474685
37,3903381
38,4050184
39,4992365
40,4369607
41,3652924
42,5394027
43,4915483
44,5265107
45,5011122
46,5721826
47,4787635
48,4504306
49,5377264
50,5158109
51,4595318
52,4335909
53,4362339
54,5279923
55,4624829
56,4085318
57,4014731
58,4966686
59,4933793
60,4379094
61,5601832
62,5124481
63,4038973
64,5457269
65,5387426
66,2497548
67,4301127
68,4660546
69,5505068
70,5032848
71,5000682
72,4219557
73,5845007
74,5723170
75,5426592
76,4967322
77,5709240
78,5080261
79,4772339
80,5149645
81,4982404
82,4143663
83,4053446
84,4426941
85,4404778
86,5199400
87,5220894
88,5558152
89,4028379
90,4200364
91,2479144
92,4695052
93,3419092
94,3437113
95,5454528
96,5688035
97,5014826
98,5375505
99,3321951
100,4141686
