round,total_numsym
1,93278
2,80722
3,94543
4,65230
5,101295
6,89370
7,89448
8,76767
9,72101
10,97186
11,94612
12,80843
13,64142
14,87287
15,63152
16,56002
17,94173
18,87228
19,78607
20,76160
21,103426
22,81823
23,93596
24,79934
25,76898
26,61909
27,91169
28,54039
29,84143
30,65367
31,87820
32,86086
33,28148
34,88080
35,92217
36,57066
37,47195
38,64208
39,109078
40,54272
41,37412
42,79680
43,61456
44,82669
45,76927
46,72565
47,57778
48,64297
49,77912
50,78115
51,49960
52,47615
53,64058
54,70996
55,56493
56,46642
57,63285
58,76540
59,92620
60,55020
61,65561
62,54030
63,37924
64,70833
65,80787
66,22627
67,58556
68,58799
69,67952
70,83211
71,94149
72,58577
73,70993
74,77744
75,72372
76,83237
77,74385
78,69152
79,57668
80,75551
81,78862
82,57355
83,67795
84,61677
85,64005
86,55566
87,70965
88,72360
89,61542
90,55840
91,30201
92,58711
93,42688
94,49196
95,69196
96,75650
97,79593
98,96356
99,40662
100,63290
