round,ids
1,134;107;87;83
2,33;26;141;4;7;42
3,68;144;131;137;62;143
4,8;112;83;51;10
5,68;137;131;12;71
6,42;137;131;72;107;33
7,71;62;33;26;130;141
8,116;33;71;130;51;4
9,51;7;130;42;12;64
10,33;8;81;72;141;50
11,51;27;68;87;44;130
12,131;141;12;135;134;97
13,72;65;80;27
14,131;143;72;148;8;87
15,81;87;8;51
16,80;68;134;130;61
17,143;72;138;131;116;81
18,44;131;33;144;149;87
19,130;44;33;4;143;9
20,72;33;4;83;26
21,23;150;116;82;122;71
22,8;134;68;131;27;23
23,134;44;116;62;130;71
24,72;8;87;143;68
25,26;9;83;51;33;62
26,134;33;26;138;94
27,94;144;72;51;42;148
28,12;71;131;138;27
29,81;4;68;130;144
30,112;68;145;83;51
31,141;83;9;134;143;10
32,4;83;144;26;135;51
33,77
34,56;44;26;134
35,8;42;65;138;148;80
36,62;148;51;130;137
37,68;83;144;9
38,80;137;149;107;56
39,8;83;44;116;80;130
40,80;44;137;9
41,89;116;72;107
42,131;116;12;143;26
43,107;69;89;50
44,81;135;148;42;83;10
45,62;135;130;51;134;33
46,138;62;134;139;72;144
47,134;51;87;9;2
48,7;148;135;42;8
49,116;39;83;148;107;137
50,116;26;68;72;141;144
51,51;68;10;149;125
52,143;33
53,2;116;149;4;12
54,62;116;72;44;26;9
55,81;83;68;7;144
56,139;39;4;10;77
57,62;72;80;144;44
58,44;80;149;68;42;116
59,51;141;71;83;72;137
60,12;137;83;8;14
61,26;137;12;4;80;9
62,137;131;68;2;71
63,131;44;84;2
64,137;72;83;33;116;9
65,12;4;94;107;149;71
66,131;149;80
67,80;9;87;68;4
68,80;72;138;51;2
69,65;9;81;94;2
70,4;8;116;72;33;134
71,141;2;107;135;144;26
72,144;72;141;112;12
73,144;65;39;130;9
74,7;130;68;83;4
75,26;83;68;80;148
76,130;9;138;135;44;42
77,138;131;42;83;71;62
78,135;71;62;12;33;51
79,139;44;12;149
80,81;139;12;149;138;83
81,51;12;135;33;4;26
82,125;81;39;144;97
83,56;116;137;69;50
84,116;134;33;141;8
85,72;135;80;4;134
86,62;4;148;51;9
87,83;4;62;7;87;135
88,81;39;135;97;137;125
89,143;116;83;130;51
90,51;143;42;141;71
91,51;89;56
92,68;72;65;116;9
93,143;44;144;141
94,7;149;12;33
95,81;138;4;131;148
96,83;26;9;68;42;130
97,131;141;80;44;12;87
98,87;107;148;143;83;9
99,143;135;94;116
100,8;72;81;71;51
