round,ndi0_count,ndi1_count
1,203,4806
2,250,6754
3,218,10345
4,268,7199
5,375,4451
6,368,8430
7,542,7844
8,540,9112
9,168,3201
10,404,4327
11,236,6770
12,259,11653
13,319,8519
14,521,3730
15,237,5589
16,458,7671
17,341,4579
18,15,4950
19,346,3489
20,162,2184
21,639,6413
22,335,5996
23,215,6758
24,69,2650
25,298,3576
26,599,6381
27,395,5269
28,307,8134
29,140,3168
30,166,6925
31,534,5812
32,289,6200
33,64,2073
34,508,6317
35,323,7135
36,368,5658
37,447,7335
38,177,4204
39,165,4298
40,593,6828
41,336,6311
42,488,5930
43,0,2651
44,404,6452
45,470,2554
46,572,4472
47,615,10141
48,405,4891
49,243,3720
50,90,5234
51,162,6361
52,285,9028
53,282,5779
54,239,5203
55,102,4821
56,504,6297
57,208,3055
58,174,6556
59,64,5817
60,311,6726
61,149,5397
62,45,3856
63,206,5805
64,381,5821
65,166,2935
66,0,1145
67,3,2915
68,162,6700
69,133,3877
70,468,4723
71,205,3074
72,99,7659
73,346,4444
74,428,5825
75,352,5420
76,238,2997
77,162,6792
78,279,5352
79,267,3361
80,23,4949
81,0,1538
82,140,2135
83,166,5576
84,521,7128
85,52,2151
86,257,4064
87,292,2964
88,98,3365
89,250,3992
90,317,4373
91,388,6224
92,166,8999
93,323,8778
94,368,3617
95,335,6972
96,18,2370
97,80,4510
98,162,4957
99,184,4487
100,288,5866
