round,total_tbSize
1,3923620
2,4789579
3,5653680
4,4970038
5,4036511
6,4729640
7,6291813
8,5918100
9,2732419
10,3493386
11,5159754
12,5594508
13,5451479
14,2733471
15,5022932
16,5107829
17,4377696
18,3610435
19,2735994
20,2979040
21,4787863
22,5065367
23,4869442
24,2195389
25,3518057
26,4911853
27,5074553
28,5119355
29,4118785
30,4747968
31,4668956
32,3387814
33,1695743
34,5333865
35,5677173
36,4389584
37,4331748
38,3467357
39,2934974
40,5406112
41,5057588
42,5579305
43,2421449
44,4497927
45,2699741
46,4515467
47,6430161
48,5572631
49,2976781
50,3697900
51,3942956
52,5941583
53,4541381
54,3908449
55,2844659
56,5663786
57,3061958
58,4595487
59,4346410
60,4447814
61,4545610
62,3639081
63,3647782
64,4324966
65,3658533
66,1613692
67,2508650
68,4542831
69,4217546
70,4241934
71,3076889
72,4267836
73,4364017
74,4048666
75,5400167
76,3631581
77,4797272
78,5096357
79,3319595
80,3453438
81,1648083
82,2183663
83,5036198
84,6215213
85,2599663
86,3542475
87,4525347
88,2654253
89,3391043
90,3665738
91,6340930
92,5321392
93,5614246
94,3784488
95,5091469
96,2499857
97,3616883
98,4247005
99,4433933
100,5116818
