round,count
1,6997
2,1056
3,5074
4,2470
5,3405
6,6680
7,4819
8,3858
9,3215
10,4900
11,4333
12,6925
13,8882
14,2468
15,4052
16,4739
17,5283
18,4773
19,1517
20,4365
21,6670
22,3401
23,2063
24,1461
25,2013
26,3239
27,3066
28,1967
29,3499
30,6778
31,3672
32,2775
33,3797
34,2817
35,3692
36,2654
37,2372
38,6764
39,2876
40,1657
41,3454
42,2451
43,3592
44,2370
45,6422
46,3107
47,215
48,6377
49,4235
50,2277
51,3673
52,3491
53,2352
54,5108
55,4556
56,4367
57,2330
58,4038
59,4134
60,4910
61,4277
62,2678
63,3594
64,3690
65,6567
66,1502
67,2709
68,1204
69,1948
70,3819
71,4082
72,2271
73,3505
74,3704
75,485
76,5658
77,3015
78,1357
79,8795
80,3278
81,3644
82,1319
83,4364
84,3451
85,2274
86,2906
87,4442
88,5389
89,985
90,3246
91,512
92,4369
93,3772
94,4456
95,2813
96,3486
97,3557
98,242
99,2383
100,2735
