round,total_ul_rbg
1,48170
2,10139
3,35068
4,23990
5,30204
6,47161
7,36015
8,43029
9,37074
10,51004
11,46270
12,43710
13,65601
14,34866
15,38512
16,43968
17,54648
18,39132
19,16508
20,39116
21,61073
22,38089
23,31863
24,19015
25,22353
26,35400
27,32601
28,30103
29,38104
30,58139
31,36646
32,31361
33,37423
34,30900
35,39204
36,33940
37,26623
38,58346
39,33609
40,16017
41,36600
42,35481
43,37486
44,29871
45,54098
46,36279
47,2097
48,60645
49,52902
50,26933
51,38991
52,41766
53,33235
54,48236
55,55411
56,42096
57,26483
58,37301
59,38836
60,41911
61,43195
62,33068
63,37472
64,39653
65,46543
66,19406
67,27693
68,19204
69,30238
70,35703
71,39949
72,27862
73,42313
74,45046
75,9033
76,57187
77,32861
78,17573
79,62146
80,40968
81,43043
82,19095
83,39652
84,39452
85,32259
86,39027
87,42187
88,44528
89,18225
90,32343
91,9163
92,48342
93,33772
94,35086
95,31906
96,42285
97,37596
98,2982
99,27494
100,33890
