round,total_tbSize
1,4130910
2,844393
3,3213913
4,2262591
5,2902052
6,4343941
7,3581917
8,4079196
9,3493655
10,5067206
11,4854595
12,4067162
13,6349081
14,3389034
15,3509177
16,4047044
17,5192309
18,3767065
19,1753026
20,3779594
21,6167661
22,3709186
23,3059391
24,1764820
25,2161540
26,3305127
27,3371377
28,2779978
29,3533425
30,5321005
31,3384078
32,3006995
33,3571195
34,2884272
35,3666263
36,3346001
37,2431110
38,5554443
39,3089056
40,1598942
41,3583524
42,3528094
43,3456741
44,2890665
45,5020650
46,3560781
47,243924
48,5586625
49,5107576
50,2402920
51,3544813
52,3929996
53,3195311
54,4486084
55,5249791
56,3901639
57,2429284
58,3363961
59,3602965
60,3922334
61,4051003
62,3162783
63,3423260
64,3818456
65,4269888
66,1793161
67,2611427
68,1799328
69,2941034
70,3206820
71,3821498
72,2569196
73,4082004
74,4434648
75,801654
76,5464867
77,3428670
78,1845866
79,6132906
80,3938374
81,4079514
82,1816957
83,3749296
84,3700823
85,3096080
86,3689297
87,4096014
88,3984163
89,1650946
90,3141347
91,856333
92,4584566
93,3378015
94,3372543
95,2996785
96,4249287
97,3707548
98,314131
99,2565462
100,3239929
