round,total_tbSize
1,3941899
2,3466593
3,4268020
4,3875079
5,4199623
6,3850348
7,4206934
8,3675856
9,4630709
10,5634215
11,5376443
12,3735125
13,4396667
14,3268350
15,4883544
16,4201382
17,4397932
18,5405652
19,3065618
20,3150233
21,4684729
22,4026095
23,5302105
24,3540479
25,4865678
26,5484520
27,4368022
28,2781918
29,4827101
30,2126722
31,3151659
32,5527041
33,2560125
34,5065348
35,4166107
36,2473277
37,3978912
38,3118413
39,5673051
40,4809070
41,3364750
42,3891846
43,2493569
44,2171969
45,5539773
46,3580698
47,4100267
48,3822884
49,2798013
50,4416183
51,3925287
52,3084758
53,3557763
54,3168110
55,4831757
56,5005632
57,4085533
58,4017116
59,4831658
60,3980724
61,3555717
62,3815530
63,2059726
64,5137554
65,4213912
66,1408757
67,3555568
68,3142062
69,4565493
70,4112848
71,3400249
72,4733800
73,5510357
74,5229637
75,4556728
76,2879281
77,5328846
78,3105988
79,2179579
80,3475448
81,3471785
82,2966936
83,1706281
84,3398532
85,4734783
86,3953773
87,5104274
88,2875046
89,3876071
90,1902031
91,4795850
92,5288333
93,2213587
94,2765841
95,1871649
96,4126653
97,4186598
98,3856510
99,2698221
100,3873512
