round,ids
1,4.05707;4.69307;4.71653
2,3.53057;3.82956
3,1.38057;3.50207
4,4.34257
5,1.24607;3.30203;3.30803
6,3.06207;3.28557
7,1.50453;4.10003;4.88757
8,1.60303;1.96557;3.89203;4.02053
9,1.25957
10,1.34803;3.97057
11,3.47857
12,4.82757
13,1.23253;3.12806;3.67907
14,2.95153;2.97103;4.10357
15,3.56757;3.69757
16,1.95257;2.11857
17,1.75407;2.92557;4.08657;4.37307
18,1.79853;1.89053;3.45753;3.57957
19,1.30257;3.19303
20,1.95803;1.96707;3.43606
21,2.15903
22,3.22507;3.25056;3.45807
23,1.28953;3.06307;3.06553;3.19257
24,4.43407
25,3.97357;4.77157
26,2.94457;4.38357
27,3.82857
28,1.64203;3.34057;4.06657
29,2.98707;3.15807
30,1.21553;3.25853;3.54007;4.58257;4.91003
31,1.25156;2.39203;2.70407
32,1.72453;1.78357
33,1.29857;3.19256;3.19506;3.24203
34,1.23306;2.29907
35,3.68353;3.77257
36,1.29907;3.52157;3.87706
37,3.77357
38,1.32157;3.70157;4.39007
39,1.27807;4.09607;4.74107
40,1.63003
41,2.96707;3.00807;3.65707;4.34657
42,2.07007;4.20657;4.24507
43,1.83907;4.24757;4.40307;4.41103;4.63857
44,1.25857;3.76057;4.21507
45,1.26857;3.01307;3.07907
46,1.96906
47,1.81707;2.11457;2.89603
48,1.24707;3.28853;4.70607
49,1.17057;2.34756;2.34807
50,1.24403;2.97657;2.99407
51,1.64757;2.48407;2.48453
52,1.20957;3.02707
53,1.23857
54,1.24757;2.62856;2.86156
55,1.27003;4.29407;4.56657
56,1.64257;3.83303;3.85207;4.00307
57,1.80307
58,1.67603;3.74757;4.68307
59,2.31407
60,1.39153;3.28407
61,1.58807;1.78253;3.55057;3.75107;3.75203
62,1.34857;2.84857;3.16656;3.44657
63,1.27703
64,1.17707;1.52657
65,1.63007
66,1.23207;3.00253;3.38507;3.38653;3.76757
67,1.79856;3.41203
68,1.95907
69,1.20506;1.73357
70,1.76457;4.13303;4.13357;4.27803;4.67357
71,1.93007;3.06603;3.22203;4.06257
72,1.20457;2.83707;2.84706;2.97453
73,1.61303;2.17406;2.69908;3.36207
74,1.22056;2.32907;2.64657
75,2.39257
76,1.90006;1.96407;4.39057
77,1.14557;2.40407
78,1.23607;4.02606;4.79707
79,2.34207;2.43057
80,2.17903;2.67257
81,3.13256;3.76707;3.77007
82,1.49203
83,1.91657;1.94307
84,1.06857;2.34057;2.87503
85,1.15607;2.49203;3.24207
86,1.63357;2.87607;2.91253;2.91657
87,3.51356
88,1.16857;1.48757
89,4.18657
90,1.59403;1.78908;2.66003;2.66003
91,2.44807;2.83553;2.84856;2.92353
92,1.16506;2.07707;2.29507
93,1.13257;2.62107;2.66357
94,1.62056;1.85707;3.38207;3.38257
95,2.48157
96,1.84057;3.25707
97,1.39457
98,1.07557;2.29756;2.38957
99,1.08957;2.07653;2.12407
100,1.51503;2.61807;2.62107;2.74757
