round,total_ul_rbg
1,52162
2,49795
3,43699
4,46133
5,45307
6,45794
7,45154
8,46061
9,43113
10,45508
11,43935
12,46604
13,44744
14,47813
15,45381
16,46886
17,45886
18,44156
19,44032
20,44082
21,42980
22,46409
23,44244
24,44890
25,47088
26,45092
27,47423
28,46620
29,43491
30,47467
31,45797
32,43003
33,46447
34,43195
35,44152
36,45229
37,45432
38,44755
39,45971
40,43703
41,47418
42,49404
43,48508
44,45329
45,43498
46,42732
47,44103
48,45476
49,43914
50,44754
51,45130
52,42453
53,43600
54,43441
55,46959
56,48411
57,45879
58,45444
59,42877
60,43189
61,44372
62,44176
63,41602
64,40089
65,39841
66,42165
67,42211
68,41815
69,39934
70,44946
71,42261
72,40642
73,41247
74,41267
75,39700
76,41268
77,39548
78,43737
79,42501
80,40574
81,37540
82,29539
83,30297
84,29549
85,29236
86,31555
87,30145
88,28976
89,29682
90,30673
91,31652
92,29171
93,30179
94,31531
95,29147
96,29580
97,29374
98,29366
99,29404
100,29572
