round,total_ul_rbg
1,35323
2,27519
3,21998
4,21327
5,37201
6,29909
7,34641
8,44238
9,16774
10,33069
11,19302
12,33674
13,35720
14,36252
15,25951
16,39475
17,46545
18,39046
19,22462
20,31021
21,14386
22,37479
23,36971
24,20811
25,42342
26,35544
27,27816
28,47233
29,28070
30,54161
31,40297
32,24142
33,39401
34,25856
35,28691
36,37987
37,29904
38,35523
39,39831
40,16933
41,50229
42,51100
43,60468
44,41153
45,31668
46,13537
47,27333
48,34735
49,26623
50,35480
51,33491
52,22450
53,11418
54,28923
55,36922
56,52448
57,27341
58,44307
59,19402
60,20260
61,45824
62,37542
63,18878
64,18192
65,20124
66,49120
67,31267
68,27101
69,27991
70,55198
71,39213
72,35497
73,41823
74,27224
75,13978
76,29775
77,21496
78,45648
79,41700
80,32561
81,45740
82,22395
83,26201
84,32828
85,29900
86,46276
87,32874
88,25704
89,18233
90,41250
91,46414
92,27734
93,33031
94,49931
95,15118
96,31002
97,17197
98,30849
99,27271
100,39181
