round,count
1,5969
2,4097
3,3000
4,3505
5,5199
6,3845
7,4262
8,4900
9,3125
10,5194
11,2428
12,4214
13,3711
14,5065
15,4599
16,5199
17,5218
18,4790
19,2795
20,4002
21,1639
22,5589
23,4584
24,2638
25,5950
26,3794
27,3508
28,5198
29,3472
30,7141
31,4254
32,2061
33,5617
34,2376
35,4628
36,4579
37,3637
38,3525
39,5716
40,1828
41,5848
42,6655
43,10472
44,5600
45,3507
46,1887
47,2877
48,3729
49,2750
50,4049
51,3435
52,2704
53,1221
54,2814
55,4078
56,7231
57,2448
58,4350
59,2173
60,1847
61,5716
62,4281
63,1597
64,1129
65,1672
66,5933
67,3919
68,2888
69,1991
70,7810
71,4591
72,4276
73,3483
74,2737
75,1958
76,2944
77,1955
78,6598
79,4163
80,3005
81,6644
82,2546
83,2815
84,3045
85,2932
86,4712
87,4117
88,1600
89,1953
90,4052
91,5877
92,2159
93,3636
94,5692
95,1094
96,2819
97,1361
98,2471
99,2600
100,3879
