round,total_numsym
1,67877
2,47310
3,34863
4,40522
5,60417
6,44289
7,49489
8,57055
9,36562
10,59498
11,28016
12,48795
13,43244
14,58931
15,53549
16,60074
17,60610
18,56101
19,32535
20,46522
21,19035
22,64951
23,53259
24,30615
25,68727
26,44110
27,40426
28,59890
29,39942
30,81636
31,49608
32,24195
33,65582
34,27762
35,53518
36,53320
37,42253
38,41128
39,65277
40,21171
41,67615
42,76474
43,121445
44,64770
45,40879
46,22073
47,33513
48,43432
49,32387
50,47136
51,40082
52,31592
53,14255
54,32651
55,47387
56,83287
57,28528
58,50408
59,25253
60,21607
61,67161
62,49788
63,18718
64,13253
65,19643
66,69267
67,45515
68,33238
69,23377
70,90691
71,53171
72,50280
73,40761
74,32038
75,22789
76,34553
77,22893
78,75269
79,48262
80,34926
81,76477
82,29567
83,32748
84,35631
85,34109
86,54830
87,47634
88,18713
89,22798
90,47487
91,68276
92,25126
93,42454
94,65723
95,12844
96,32720
97,15942
98,28858
99,30421
100,45392
