round,total_tbSize
1,3287335
2,2590241
3,2028030
4,2322187
5,3419883
6,2899014
7,3466983
8,4120674
9,1598171
10,3047167
11,2036994
12,3600752
13,3438394
14,3651112
15,2466508
16,3936999
17,4518122
18,3537737
19,2117481
20,2897831
21,1372126
22,3588517
23,3360792
24,2170492
25,4111794
26,3459332
27,3019131
28,4737554
29,2754129
30,5090034
31,4017437
32,2273241
33,3672112
34,2453547
35,2695807
36,3623128
37,3250108
38,3518923
39,3741928
40,1684702
41,5126528
42,5188015
43,5749810
44,3877968
45,2951844
46,1372907
47,2472994
48,3445856
49,2382654
50,3380385
51,3183246
52,2113289
53,1057106
54,2666958
55,3832198
56,4964776
57,2831793
58,4295141
59,1955313
60,2074700
61,4094592
62,3532485
63,1724579
64,1621996
65,2025610
66,4529279
67,3087534
68,2878755
69,2817214
70,5273182
71,3740197
72,3168075
73,3974889
74,2515434
75,1341377
76,3023259
77,2040884
78,4504449
79,4173327
80,3297964
81,4499435
82,2214563
83,2580925
84,3073614
85,2771993
86,4556118
87,3337389
88,2452688
89,2006940
90,3870094
91,4569444
92,2527587
93,3033600
94,4857940
95,1647367
96,3082976
97,1919724
98,2956401
99,2447948
100,3637542
