round,total_numsym
1,37666
2,61756
3,57480
4,70025
5,78290
6,72607
7,50677
8,57369
9,72917
10,105726
11,63210
12,43408
13,63429
14,84219
15,55174
16,53378
17,48139
18,34945
19,65076
20,82096
21,59694
22,39326
23,83409
24,70869
25,59082
26,59803
27,41296
28,43751
29,94883
30,50839
31,93877
32,41639
33,60887
34,61562
35,51274
36,47029
37,49137
38,47114
39,85979
40,68879
41,29530
42,98302
43,78331
44,75550
45,53023
46,68909
47,73555
48,40643
49,36756
50,58074
51,102452
52,62457
53,58904
54,53580
55,63143
56,33926
57,36843
58,36480
59,42436
60,56658
61,63325
62,60085
63,62253
64,49397
65,47268
66,63586
67,40806
68,61943
69,28567
70,83667
71,23237
72,21891
73,44653
74,34520
75,62926
76,35400
77,47415
78,80429
79,30264
80,60733
81,47083
82,24838
83,29436
84,32701
85,58516
86,45998
87,60601
88,72466
89,68494
90,68594
91,97018
92,53990
93,45951
94,84477
95,44457
96,50950
97,33752
98,65919
99,31477
100,71104
