round,count
1,3265
2,5408
3,4991
4,6076
5,6748
6,6365
7,4352
8,5038
9,6397
10,9070
11,5473
12,3720
13,5450
14,7294
15,4755
16,4623
17,4144
18,2997
19,5562
20,7162
21,5139
22,3372
23,7208
24,6139
25,5191
26,5229
27,3541
28,3754
29,8344
30,4359
31,8094
32,3570
33,5232
34,5323
35,4370
36,4029
37,4203
38,4039
39,7470
40,5928
41,2532
42,8567
43,6732
44,6519
45,4514
46,5927
47,6272
48,3484
49,3147
50,4956
51,8722
52,5354
53,5145
54,4629
55,5410
56,2902
57,3154
58,3133
59,3621
60,4834
61,5440
62,5151
63,5330
64,4221
65,4066
66,5485
67,3512
68,5280
69,2454
70,7233
71,1982
72,1869
73,3836
74,2959
75,5447
76,3039
77,4053
78,6969
79,2593
80,5196
81,4070
82,2133
83,2512
84,2818
85,5095
86,3935
87,5186
88,6170
89,5892
90,5889
91,8261
92,4615
93,3931
94,7268
95,3829
96,4342
97,2895
98,5636
99,2707
100,6098
