round,total_tbSize
1,2918991
2,3536848
3,3889792
4,4019509
5,4876957
6,4303887
7,3434998
8,3815731
9,4078782
10,4779504
11,4271081
12,3882281
13,3434713
14,4515143
15,4161139
16,4349185
17,4100881
18,1979389
19,4461830
20,5091896
21,4197670
22,3034408
23,4636352
24,4441353
25,3837145
26,4100239
27,3446998
28,3062718
29,4324959
30,3621190
31,5014165
32,2240332
33,3765956
34,3994926
35,3905203
36,3080445
37,3756442
38,3663114
39,4687459
40,4339884
41,2815250
42,5371072
43,5305463
44,4208121
45,3515591
46,4260010
47,4133007
48,3383123
49,2613334
50,3628877
51,4911683
52,4783538
53,3930873
54,3981688
55,4468586
56,2757529
57,4147764
58,3532939
59,3518981
60,4216436
61,4333315
62,3767120
63,3952181
64,3608636
65,4342915
66,3402248
67,3333882
68,3799281
69,2531564
70,5484174
71,1966243
72,1916869
73,4025341
74,3497296
75,4656890
76,3546204
77,4240864
78,5653243
79,2912374
80,3106851
81,4517221
82,2321516
83,3105784
84,2802551
85,4289752
86,4911706
87,4373211
88,4009248
89,4882703
90,4281097
91,5068755
92,3443081
93,3877444
94,5090869
95,4096545
96,3383294
97,2728928
98,4401772
99,3046340
100,5376132
