round,total_ul_rbg
1,53827
2,51162
3,41323
4,40389
5,41487
6,42132
7,41468
8,41749
9,42761
10,42316
11,41591
12,40058
13,39441
14,42008
15,41170
16,40880
17,41056
18,39031
19,40688
20,41516
21,41246
22,39857
23,41191
24,40642
25,41821
26,41569
27,39072
28,38607
29,42270
30,40085
31,42703
32,38945
33,40857
34,40218
35,40165
36,38900
37,41177
38,40423
39,42589
40,40580
41,39344
42,41845
43,41481
44,41642
45,39854
46,41776
47,40514
48,40098
49,39363
50,40506
51,34074
52,40658
53,42277
54,41225
55,39455
56,39661
57,39502
58,40894
59,38870
60,39504
61,39913
62,40808
63,41414
64,39752
65,39209
66,40790
67,38963
68,40216
69,39349
70,42473
71,39274
72,37989
73,39708
74,40011
75,41182
76,39553
77,40395
78,43172
79,38702
80,40109
81,41112
82,38959
83,39273
84,40370
85,43877
86,40483
87,39859
88,39778
89,40318
90,40773
91,34973
92,40331
93,39289
94,39885
95,40534
96,40200
97,38850
98,40311
99,39888
100,41743
