round,total_tbSize
1,4990531
2,5204446
3,5680735
4,5650047
5,4065582
6,5519268
7,5206736
8,5424857
9,5525673
10,3686444
11,4604176
12,5815561
13,4762783
14,5492217
15,5406752
16,3285613
17,3605535
18,5527849
19,4406913
20,5411460
21,4244296
22,5358228
23,5144484
24,4439684
25,4970767
26,3302152
27,4333550
28,5141203
29,4984768
30,4254889
31,2981253
32,4470595
33,4931963
34,6703385
35,4792711
36,4079589
37,6203023
38,5793604
39,4317080
40,3817761
41,6093391
42,3266452
43,5587468
44,4800829
45,5489867
46,5012500
47,3640240
48,5220732
49,5902076
50,5245969
51,4051258
52,5073023
53,5151651
54,3722083
55,3316716
56,4278206
57,4571714
58,4178988
59,5735881
60,5488637
61,5064463
62,4731497
63,4642256
64,5075253
65,3777892
66,5575256
67,5482874
68,4138087
69,5352100
70,5096145
71,3413236
72,3432657
73,5030394
74,5208900
75,4660069
76,3679696
77,4231595
78,5325655
79,3993153
80,4182783
81,5274714
82,3270817
83,5150349
84,3529986
85,4048802
86,3648234
87,5379477
88,4935443
89,4661009
90,4422050
91,4281088
92,3373715
93,5505063
94,4949283
95,4016115
96,4832033
97,4154461
98,4080643
99,3805003
100,4096880
