round,total_numsym
1,73975
2,79561
3,76230
4,88426
5,52109
6,102534
7,99992
8,63325
9,94213
10,59123
11,68038
12,72244
13,64922
14,81302
15,96336
16,46700
17,49367
18,71415
19,71127
20,87665
21,58828
22,77750
23,95279
24,52087
25,96813
26,48836
27,56878
28,91427
29,91010
30,62381
31,31604
32,52021
33,67714
34,114412
35,67160
36,53874
37,85152
38,83448
39,56324
40,48786
41,82140
42,44126
43,73430
44,60044
45,50711
46,63694
47,34866
48,79569
49,67802
50,66905
51,43730
52,67648
53,68157
54,43115
55,36998
56,55291
57,52508
58,69993
59,86405
60,81904
61,78885
62,48510
63,47670
64,84391
65,41181
66,85328
67,93814
68,60760
69,89173
70,78797
71,41385
72,42345
73,96621
74,51651
75,64445
76,36805
77,56362
78,75692
79,59407
80,60399
81,51725
82,45211
83,84404
84,37681
85,66086
86,41009
87,69354
88,57898
89,60935
90,49758
91,57345
92,39670
93,75063
94,90857
95,48953
96,58420
97,61089
98,68123
99,41052
100,34442
