round,ndi0_count,ndi1_count
1,485,4159
2,241,7781
3,128,8545
4,478,4103
5,489,4965
6,354,4034
7,561,8551
8,370,4643
9,533,6405
10,415,6059
11,526,5715
12,511,6821
13,214,9413
14,493,7418
15,296,2990
16,268,4259
17,342,5726
18,330,5932
19,390,5952
20,95,3535
21,106,5667
22,224,7044
23,258,4862
24,354,6040
25,572,4871
26,184,1719
27,282,5038
28,310,3408
29,248,6678
30,418,4424
31,469,4062
32,430,6013
33,282,5108
34,193,3968
35,48,4305
36,451,4172
37,296,3459
38,182,7510
39,224,4576
40,407,8936
41,314,5870
42,806,4927
43,99,4592
44,462,5699
45,87,2250
46,352,3494
47,227,5659
48,410,6822
49,607,4872
50,75,3628
51,152,3167
52,33,3051
53,535,5288
54,218,3338
55,188,3962
56,408,4509
57,231,3858
58,122,6074
59,59,4264
60,114,4603
61,12,3712
62,170,3423
63,93,6510
64,159,5503
65,20,5001
66,232,6130
67,112,2215
68,32,7700
69,92,3106
70,33,6024
71,17,3195
72,396,4583
73,12,1460
74,82,2027
75,56,4385
76,190,6142
77,301,3534
78,260,2216
79,21,4257
80,58,2729
81,229,4499
82,196,5423
83,27,3538
84,29,1801
85,36,3096
86,211,3985
87,53,1805
88,16,4242
89,183,5192
90,91,4165
91,0,4886
92,194,5552
93,211,2049
94,150,3456
95,175,3677
96,271,4530
97,103,1073
98,282,3647
99,3,4469
100,66,3811
