round,total_ul_rbg
1,58294
2,53241
3,51812
4,53593
5,53934
6,53470
7,55368
8,52737
9,54466
10,41113
11,43013
12,43579
13,41611
14,43684
15,41326
16,41613
17,42932
18,42781
19,41922
20,39210
21,41252
22,41296
23,42566
24,42317
25,43382
26,39102
27,42258
28,40941
29,42638
30,42798
31,42419
32,44973
33,41710
34,40580
35,40142
36,42537
37,40242
38,39885
39,41946
40,42978
41,42961
42,47102
43,40646
44,41516
45,40973
46,42209
47,42324
48,43390
49,45021
50,40493
51,41885
52,41148
53,45839
54,41514
55,41714
56,43537
57,40070
58,38877
59,30351
60,29768
61,31035
62,32014
63,25581
64,30489
65,30232
66,24116
67,31442
68,23479
69,30655
70,24737
71,30065
72,32263
73,30792
74,29855
75,30105
76,26296
77,31387
78,30841
79,29968
80,29821
81,30045
82,20289
83,19665
84,20074
85,19737
86,20937
87,19255
88,19717
89,19994
90,20173
91,20464
92,20898
93,20603
94,19983
95,20523
96,21110
97,19597
98,21409
99,19561
100,20184
