round,ndi0_count,ndi1_count
1,331,3942
2,181,5098
3,104,4908
4,140,6999
5,261,3873
6,331,4618
7,245,6611
8,69,6124
9,163,3164
10,419,4326
11,199,4634
12,131,6790
13,80,7144
14,583,4822
15,283,2908
16,261,3642
17,622,7430
18,250,4714
19,464,3483
20,229,1495
21,435,4245
22,235,4190
23,220,3090
24,177,2759
25,301,2957
26,519,5233
27,184,2251
28,226,6034
29,162,2579
30,118,5603
31,182,4453
32,294,5247
33,388,3048
34,513,6976
35,462,4150
36,249,2593
37,422,4735
38,226,5109
39,260,4379
40,464,3605
41,371,6500
42,438,3836
43,1,3418
44,114,3048
45,381,2809
46,266,3049
47,335,4450
48,240,3296
49,352,3951
50,85,3487
51,163,4461
52,294,7706
53,298,4481
54,149,2855
55,121,4082
56,464,5785
57,263,3098
58,159,3060
59,1,5138
60,122,3620
61,297,4746
62,265,5656
63,205,5338
64,227,3706
65,297,3851
66,62,1993
67,281,5073
68,159,4666
69,291,2761
70,310,3123
71,309,3330
72,7,5353
73,185,2270
74,186,2835
75,178,5199
76,118,2290
77,0,3343
78,108,4527
79,113,2221
80,343,4880
81,77,3086
82,213,2624
83,194,4514
84,54,3432
85,332,4295
86,161,2691
87,320,3200
88,208,4682
89,379,4480
90,243,3727
91,253,4312
92,178,5915
93,84,6409
94,131,1977
95,58,3243
96,60,3182
97,218,6544
98,116,4486
99,305,4447
100,142,5222
