round,total_numsym
1,49337
2,61235
3,57652
4,82978
5,47890
6,57234
7,78819
8,72634
9,38584
10,53729
11,55865
12,80316
13,84124
14,61665
15,36816
16,45338
17,90824
18,58016
19,45478
20,20101
21,53377
22,51603
23,38344
24,34366
25,37805
26,66526
27,28455
28,73076
29,32081
30,67141
31,54277
32,64612
33,39896
34,86626
35,52646
36,32646
37,59891
38,62096
39,54103
40,46822
41,79324
42,48291
43,40177
44,37103
45,36999
46,38280
47,54656
48,40462
49,49971
50,41716
51,54329
52,91483
53,54325
54,34898
55,49218
56,71944
57,39105
58,37328
59,60281
60,43779
61,58596
62,68582
63,64534
64,45269
65,47829
66,24059
67,62200
68,56371
69,34911
70,39304
71,41619
72,62914
73,28643
74,35186
75,62575
76,28128
77,39338
78,54249
79,27384
80,60876
81,37174
82,32946
83,54387
84,40848
85,53696
86,33316
87,40164
88,56758
89,55366
90,46121
91,52380
92,71355
93,75861
94,24782
95,38618
96,37937
97,78723
98,53848
99,55144
100,62917
