round,total_tbSize
1,3605745
2,4778471
3,4526890
4,4391560
5,4267452
6,4649349
7,4872990
8,4144457
9,4316080
10,4929418
11,5152935
12,5315468
13,4097728
14,4958508
15,3481577
16,4457015
17,6081744
18,5234602
19,5016307
20,2390534
21,5309963
22,6026137
23,3452243
24,3453367
25,3466208
26,5687193
27,2751447
28,5739657
29,3425396
30,5390477
31,4831809
32,5264873
33,4293255
34,5972686
35,5166259
36,2867148
37,6353547
38,6132435
39,5519114
40,4510916
41,6067572
42,4916018
43,3167666
44,3800507
45,4006146
46,3439203
47,4225597
48,4012076
49,4782334
50,3636816
51,4473836
52,5210966
53,4554523
54,3301997
55,4264900
56,5923207
57,4841290
58,3700534
59,3987117
60,3701736
61,5364412
62,5942933
63,5472690
64,4047662
65,4326369
66,2555536
67,4135269
68,4733409
69,3861550
70,4071560
71,4317154
72,4040944
73,3216893
74,3484329
75,4812681
76,3381257
77,3167769
78,4077725
79,3634178
80,4961305
81,3518320
82,3145971
83,5399399
84,4190089
85,4786166
86,3637521
87,3926552
88,4624021
89,4867706
90,4802509
91,3972621
92,4886580
93,5259675
94,2551379
95,3672582
96,3386934
97,5146955
98,4398832
99,4353541
100,4666328
