round,total_ul_rbg
1,35737
2,51271
3,51028
4,47978
5,44932
6,49338
7,51837
8,46346
9,46070
10,51267
11,59231
12,58650
13,46130
14,50873
15,37229
16,46747
17,64120
18,54787
19,51694
20,22484
21,54250
22,63934
23,36172
24,35823
25,35829
26,57966
27,31375
28,61559
29,37095
30,58749
31,51762
32,55122
33,44217
34,59925
35,52569
36,30579
37,65495
38,66937
39,57614
40,43210
41,67637
42,49601
43,35485
44,40306
45,40797
46,36121
47,45604
48,42911
49,48872
50,39849
51,47026
52,57617
53,48624
54,35165
55,45570
56,61886
57,51374
58,40025
59,44820
60,39661
61,57447
62,65153
63,59135
64,43191
65,46257
66,29693
67,43666
68,49979
69,40370
70,42603
71,43996
72,45243
73,32434
74,37287
75,53550
76,36110
77,35461
78,44669
79,38436
80,50343
81,38652
82,32233
83,59150
84,46607
85,48718
86,37719
87,40973
88,49866
89,50594
90,50731
91,42329
92,53054
93,58266
94,27134
95,40516
96,37606
97,56952
98,47717
99,43845
100,50662
