round,start,end,dur_s,dest,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
21,101,106,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
22,106,111,5,1.0.0.2,2883.78,2662.56,2662.56,13.1857,1.8625,22.0565,77.9435,3822,2979,1802364,1664103
22,106,111,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
23,111,116,5,1.0.0.2,3881.82,3819.98,3819.98,16.5136,1.54823,12.7499,87.2501,3851,3360,2426141,2387489
23,111,116,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
24,116,121,5,1.0.0.2,4130.41,4009.63,4009.63,18.5547,1.8194,11.8359,88.1641,4047,3568,2581505,2506022
24,116,121,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
25,121,126,5,1.0.0.2,6139.43,6002.05,6002.05,20.2247,1.96425,1.12762,98.8724,5587,5524,3837142,3751284
25,121,126,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
26,126,131,5,1.0.0.2,3114.16,2877.65,2877.65,18.6796,2.19798,12.8849,87.1151,3702,3225,1946349,1798529
26,126,131,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
27,131,136,5,1.0.0.2,4030.06,3897.67,3897.67,13.2346,1.12594,10.536,89.464,4366,3906,2518790,2436046
27,131,136,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
28,136,141,5,1.0.0.2,4480.96,4373.66,4373.66,20.5566,1.4189,10.168,89.832,4465,4011,2800600,2733540
28,136,141,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
29,141,146,5,1.0.0.2,4216.23,4080.79,4080.79,17.8,1.60399,9.12446,90.8755,4877,4432,2635142,2550494
29,141,146,5,5.0.0.2,7116.59,4577.11,4577.11,7.68939,0.714748,35.7058,64.2942,4229,2719,4447869,2860691
