round,total_tbSize
1,2690816
2,3285499
3,3924530
4,4072786
5,3283547
6,4372443
7,5385396
8,4366037
9,5491167
10,4793940
11,4507270
12,4069525
13,2995165
14,2589530
15,4896934
16,3397410
17,5453162
18,3722331
19,2722671
20,3592544
21,5101321
22,2023682
23,3487561
24,3714103
25,4891163
26,2676650
27,3295722
28,3113738
29,3787281
30,4143443
31,3781788
32,4101830
33,4816852
34,4693777
35,2396234
36,4764674
37,2984982
38,4581994
39,3858802
40,3733289
41,4193056
42,4178442
43,4422462
44,4937449
45,2881660
46,2757301
47,4496490
48,4478400
49,3767983
50,4343877
51,4372806
52,2728036
53,5096477
54,4045325
55,2904796
56,4023111
57,4865066
58,4449778
59,3942589
60,3800685
61,4065931
62,4036330
63,4658188
64,3633586
65,3381744
66,3710443
67,4299487
68,2451035
69,3510710
70,3717348
71,2299370
72,2207244
73,3085157
74,3319274
75,5609328
76,3076027
77,4020944
78,3879934
79,4071529
80,2889290
81,3905271
82,4540798
83,4650239
84,4629148
85,4855992
86,4374541
87,4722637
88,2405148
89,4122990
90,2577195
91,4888652
92,4241306
93,5057347
94,5058862
95,3267535
96,4679777
97,5207538
98,4925626
99,5778267
100,4226224
