round,total_ul_rbg
1,31604
2,34094
3,44559
4,42700
5,34232
6,46856
7,54482
8,46267
9,60231
10,51544
11,47610
12,44366
13,32264
14,26960
15,54918
16,35802
17,57419
18,39857
19,26462
20,39953
21,55803
22,21434
23,37094
24,40017
25,52413
26,28197
27,34592
28,33824
29,40535
30,46646
31,40993
32,40686
33,52104
34,48841
35,24311
36,49667
37,32167
38,48084
39,42160
40,40451
41,47643
42,44442
43,47934
44,54683
45,31752
46,28538
47,49381
48,46100
49,40499
50,47716
51,43661
52,29153
53,53192
54,43268
55,31690
56,44055
57,52672
58,49116
59,43053
60,40701
61,43451
62,43225
63,47471
64,39423
65,37591
66,39469
67,44154
68,27523
69,39192
70,37967
71,23518
72,21766
73,32981
74,33901
75,59624
76,33239
77,42212
78,42518
79,46759
80,30823
81,41263
82,46791
83,50210
84,50423
85,52831
86,49764
87,50822
88,23793
89,45666
90,27340
91,52864
92,45494
93,56734
94,57053
95,36525
96,52550
97,54963
98,53330
99,62809
100,43650
