round,ndi0_count,ndi1_count
1,189,6875
2,143,4738
3,168,5085
4,182,5470
5,110,6240
6,68,8294
7,120,7297
8,513,6413
9,226,6325
10,279,4833
11,116,5466
12,18,7710
13,37,4859
14,99,4769
15,80,4777
16,205,5117
17,137,7563
18,270,7128
19,189,8354
20,4,5240
21,72,5607
22,2,6649
23,130,6162
24,59,4841
25,485,5097
26,233,7042
27,135,7260
28,99,6391
29,12,5545
30,11,4602
31,80,6009
32,217,5305
33,160,3264
34,221,6769
35,517,7342
36,130,7684
37,12,3709
38,254,6864
39,303,6686
40,66,2694
41,165,7366
42,174,6903
43,60,4456
44,35,7953
45,44,5177
46,197,6338
47,138,2487
48,270,4972
49,62,5601
50,157,4902
51,168,5405
52,172,4753
53,0,5416
54,151,4624
55,87,2256
56,2,5282
57,325,4781
58,0,3788
59,0,4055
60,267,3065
61,357,7074
62,211,7221
63,190,3285
64,3,8044
65,0,1930
66,1,7579
67,46,6658
68,237,2261
69,123,7500
70,69,4973
71,111,3822
72,60,4865
73,205,8506
74,307,4234
75,22,5261
76,3,5246
77,4,5434
78,60,6021
79,15,4988
80,34,2189
81,31,2965
82,9,3722
83,207,6110
84,3,2965
85,181,5449
86,122,6765
87,0,5554
88,371,5621
89,65,5217
90,253,3990
91,263,4640
92,87,4063
93,145,5120
94,109,5324
95,177,5098
96,73,6582
97,122,4498
98,307,3170
99,154,5036
100,2,5588
