round,total_ul_rbg
1,57161
2,43777
3,39420
4,28050
5,53638
6,57661
7,57471
8,59655
9,53704
10,53413
11,49848
12,57034
13,46913
14,51008
15,51387
16,53770
17,57333
18,63218
19,60334
20,46464
21,60656
22,56407
23,60771
24,49718
25,54786
26,65049
27,62917
28,51580
29,47294
30,37543
31,55807
32,49692
33,31074
34,58761
35,58852
36,60238
37,36464
38,47438
39,60391
40,27735
41,58398
42,62939
43,42174
44,65174
45,48988
46,68369
47,34296
48,57026
49,46359
50,49424
51,53259
52,51435
53,45314
54,42190
55,29245
56,47322
57,54838
58,36573
59,37046
60,40096
61,64793
62,62118
63,41167
64,55802
65,27915
66,55431
67,60921
68,35804
69,58574
70,48527
71,43748
72,46773
73,56488
74,55186
75,46608
76,46660
77,45453
78,56311
79,47141
80,31120
81,39773
82,36656
83,62161
84,37886
85,47940
86,60967
87,46503
88,61313
89,48410
90,45243
91,55560
92,52427
93,52842
94,52983
95,50713
96,60495
97,51148
98,41868
99,52737
100,45289
