round,total_tbSize
1,5342616
2,3920571
3,3610502
4,2503424
5,4793133
6,5177065
7,5144227
8,5453264
9,4890866
10,5005653
11,4458661
12,5110517
13,4234851
14,4662025
15,4648655
16,4874025
17,5168287
18,5812955
19,5427329
20,4161645
21,5485354
22,5035571
23,5479494
24,4473173
25,5468750
26,5992218
27,5784677
28,4682932
29,4225504
30,3356169
31,5009200
32,4704847
33,2876483
34,5341373
35,5729725
36,5449027
37,3266336
38,4458362
39,5763900
40,2476202
41,5224213
42,5699755
43,3795491
44,5898853
45,4468328
46,6210487
47,3191864
48,5149448
49,4163163
50,4688067
51,4832960
52,4757705
53,4045444
54,3782741
55,2668406
56,4232373
57,5062856
58,3266974
59,3304786
60,3840116
61,6012217
62,5696314
63,3862925
64,4981680
65,2499536
66,4943745
67,5495180
68,3393912
69,5262504
70,4406545
71,4032027
72,4302409
73,5175715
74,5250075
75,4174652
76,4173776
77,4066230
78,5052970
79,4218695
80,2834510
81,3573498
82,3275293
83,5629973
84,3397724
85,4370344
86,5529308
87,4158596
88,5812177
89,4442757
90,4304248
91,5350192
92,4768107
93,4888113
94,4764399
95,4738197
96,5469862
97,4690405
98,3834285
99,5016266
100,4043788
