flow_id,src,sport,dst,dport,start,end,active_s,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
1,7.0.0.152,49153,5.0.0.2,50000,1.00798,485.377,484.369,1113.56,1113.54,1113.54,13.3903,2.58678,0.00156033,99.9984,64089,64088,67421628,67420576
2,7.0.0.154,49153,5.0.0.2,50000,1.00956,27.6181,26.6085,21231,1146.23,1146.23,15.7297,2.95567,94.6011,5.39888,67125,3624,70615500,3812448
3,7.0.0.156,49153,5.0.0.2,50000,1.01029,485.374,484.363,890.072,889.95,889.95,13.9111,2.9018,0.0136649,99.9863,51226,51219,53889752,53882388
4,7.0.0.153,49153,5.0.0.2,50000,1.01322,485.385,484.372,1189.01,1188.99,1188.99,12.7764,2.53313,0.0014613,99.9985,68432,68431,71990464,71989412
5,7.0.0.155,49153,5.0.0.2,50000,1.01885,485.385,484.366,1224.78,1224.75,1224.75,13.9183,2.48711,0.00283728,99.9972,70490,70488,74155480,74153376
6,7.0.0.157,49153,5.0.0.2,50000,1.03556,37.0971,36.0615,16129.8,1192.33,1192.33,22.0021,3.91677,92.6079,7.39213,69114,5109,72707928,5374668
7,7.0.0.63,49153,1.0.0.2,9,1.038,6.00806,4.97006,1260.94,1179.14,1179.14,15.2995,2.97427,3.46878,96.5312,1009,974,783372,732552
9,7.0.0.8,49153,1.0.0.2,9,1.055,6.01006,4.95506,1182.87,1182.87,1182.87,11.4941,1.06902,0,100,974,974,732652,732652
11,7.0.0.43,49153,1.0.0.2,9,1.081,6.00406,4.92306,1190.91,1190.91,1190.91,14.3005,1.0943,0,100,980,980,732864,732864
13,7.0.0.72,49153,1.0.0.2,9,1.104,6.11857,5.01457,1169.01,1169.01,1169.01,26.2994,1.00948,0,100,978,978,732760,732760
14,7.0.0.5,49153,1.0.0.2,9,1.12,6.11957,4.99957,1172.52,1172.52,1172.52,26.2291,0.987884,0,100,978,978,732760,732760
15,7.0.0.144,49153,1.0.0.2,9,1.122,6.00406,4.88206,1200.91,1200.91,1200.91,14.3185,1.17098,0,100,980,980,732864,732864
19,7.0.0.132,49153,1.0.0.2,9,6.07,11.0056,4.93557,1172.88,1172.88,1172.88,10.8642,0.972069,0,100,800,800,723604,723604
21,7.0.0.3,49153,1.0.0.2,9,6.158,6.80956,0.651565,178.18,3.87989,3.87989,4.76692,0.41994,97.8495,2.15054,279,6,14512,316
22,7.0.0.28,49153,1.0.0.2,9,6.161,11.0041,4.84306,1210.49,1210.49,1210.49,14.8234,1.20799,0,100,979,979,732812,732812
25,7.0.0.9,49153,1.0.0.2,9,6.167,11.0041,4.83706,1210.27,1210.27,1210.27,26.385,0.989371,0,100,959,959,731772,731772
26,7.0.0.136,49153,1.0.0.2,9,6.169,11.0041,4.83506,1258.23,1212.58,1212.58,21.7369,1.72401,1.9019,98.0981,999,980,760452,732864
29,7.0.0.11,49153,1.0.0.2,9,6.188,7.64953,1.46153,149.739,35.0318,35.0318,6.2513,1.55269,76.616,23.384,526,123,27356,6400
31,7.0.0.62,49153,1.0.0.2,9,11.033,16.0326,4.99956,1190.15,1157.62,1157.62,12.9534,1.96382,1.72626,98.2737,811,797,743776,723448
33,7.0.0.142,49153,1.0.0.2,9,11.042,16.6236,5.58157,1060.29,1060.14,1060.14,23.1827,1.3545,0.173461,99.8265,1153,1151,739760,739656
35,7.0.0.131,49153,1.0.0.2,9,11.075,16.6236,5.54857,1062.44,1062.44,1062.44,18.4752,0.983099,0,100,1081,1081,736880,736880
36,7.0.0.81,49153,1.0.0.2,9,11.076,16.7356,5.65957,1070.75,1039.97,1039.97,30.1188,1.28138,1.40581,98.5942,1067,1052,757500,735720
37,7.0.0.52,49153,1.0.0.2,9,11.079,16.0041,4.92506,1190.34,1190.34,1190.34,9.50431,0.460417,0,100,979,979,732812,732812
41,7.0.0.144,49154,1.0.0.2,9,11.181,16.693,5.51203,1073.67,1073.67,1073.67,22.7359,0.972371,0,100,1153,1153,739760,739760
43,7.0.0.69,49153,1.0.0.2,9,16.038,21.0125,4.97453,41.1504,41.1504,41.1504,4.68962,0.333888,0,100,492,492,25588,25588
44,7.0.0.139,49153,1.0.0.2,9,16.045,21.3681,5.32307,1104.7,1104.7,1104.7,9.52869,0.414643,0,100,1035,1035,735052,735052
47,7.0.0.5,49154,1.0.0.2,9,16.099,21.0125,4.91353,41.6613,41.6613,41.6613,4.7497,0.403184,0,100,492,492,25588,25588
48,7.0.0.138,49153,1.0.0.2,9,16.143,22.0701,5.92707,1017.68,990.24,990.24,8.4284,1.06249,1.38067,98.6193,1014,1000,753980,733652
49,7.0.0.43,49154,1.0.0.2,9,16.161,21.0125,4.85153,42.1937,42.1937,42.1937,4.72622,0.372084,0,100,492,492,25588,25588
50,7.0.0.98,49153,1.0.0.2,9,16.162,21.0481,4.88606,37.1276,37.0425,37.0425,6.2079,1.44461,0.229358,99.7706,436,435,22676,22624
55,7.0.0.28,49154,1.0.0.2,9,21.016,26.004,4.98803,1175.56,1175.56,1175.56,13.8664,1.21473,0,100,980,980,732964,732964
56,7.0.0.84,49153,1.0.0.2,9,21.022,26.004,4.98203,1176.97,1176.97,1176.97,14.0895,1.2539,0,100,980,980,732964,732964
57,7.0.0.10,49153,1.0.0.2,9,21.042,26.004,4.96203,1184.89,1180.21,1180.21,13.0738,1.11248,0.207469,99.7925,964,962,734932,732028
61,7.0.0.13,49153,1.0.0.2,9,21.06,26.0071,4.94706,41.2948,41.2948,41.2948,5.05535,0.998812,0,100,491,491,25536,25536
63,7.0.0.81,49154,1.0.0.2,9,21.079,26.0071,4.92806,41.454,41.454,41.454,5.31326,1.3332,0,100,491,491,25536,25536
65,7.0.0.62,49154,1.0.0.2,9,21.131,26.0101,4.87906,40.2503,40.1651,40.1651,8.12531,1.52125,0.211864,99.7881,472,471,24548,24496
67,7.0.0.10,49154,1.0.0.2,9,26.056,31.0055,4.94953,1169.32,1169.32,1169.32,8.90554,0.845803,0,100,797,797,723448,723448
69,7.0.0.45,49153,1.0.0.2,9,26.125,31.0041,4.87906,1201.56,1201.56,1201.56,22.6689,1.39553,0,100,979,979,732812,732812
71,7.0.0.117,49153,1.0.0.2,9,26.155,31.0041,4.84906,1209,1209,1209,31.4111,1.30196,0,100,979,979,732812,732812
73,7.0.0.131,49154,1.0.0.2,9,26.169,31.0041,4.83506,1212.5,1212.5,1212.5,31.4956,1.2741,0,100,979,979,732812,732812
74,7.0.0.63,49154,1.0.0.2,9,26.183,30.1031,3.92007,1510.11,1489.37,1489.37,14.2433,0.988333,0.712831,99.2872,982,975,739968,729804
76,7.0.0.52,49154,1.0.0.2,9,26.189,31.0041,4.81506,1217.53,1217.53,1217.53,22.8055,1.31742,0,100,979,979,732812,732812
79,7.0.0.34,49153,1.0.0.2,9,31.011,36.0061,4.99506,1172.99,1172.99,1172.99,10.8237,1.24748,0,100,969,969,732392,732392
80,7.0.0.52,49155,1.0.0.2,9,31.013,36.0061,4.99306,1174.37,1174.37,1174.37,10.8378,1.31445,0,100,980,980,732964,732964
83,7.0.0.145,49153,1.0.0.2,9,31.039,36.0041,4.96506,1180.75,1180.75,1180.75,13.666,1.32104,0,100,979,979,732812,732812
84,7.0.0.131,49155,1.0.0.2,9,31.054,36.0061,4.95206,1184.01,1184.01,1184.01,11.6118,1.35833,0,100,979,979,732912,732912
87,7.0.0.149,49153,1.0.0.2,9,31.119,36.0116,4.89257,685.082,630.475,630.475,23.1527,2.27983,3.02234,96.9777,761,738,418976,385580
89,7.0.0.13,49154,1.0.0.2,9,31.179,36.0041,4.82506,1213.37,1213.37,1213.37,13.4834,1.16325,0,100,960,960,731824,731824
91,7.0.0.88,49153,1.0.0.2,9,36.005,41.0056,5.00056,1172.28,1172.28,1172.28,12.4408,1.20652,0,100,976,976,732756,732756
92,7.0.0.62,49155,1.0.0.2,9,36.007,41.0191,5.01207,1058.02,1000.08,1000.08,25.2622,2.43077,2.69397,97.306,928,903,662860,626560
94,7.0.0.52,49156,1.0.0.2,9,36.023,41.0056,4.98256,1176.6,1176.6,1176.6,9.73619,1.15825,0,100,977,977,732808,732808
97,7.0.0.136,49154,1.0.0.2,9,36.034,40.9845,4.95053,813.152,754.492,754.492,13.5899,2.51823,3.0525,96.9475,819,794,503192,466892
98,7.0.0.63,49155,1.0.0.2,9,36.045,40.6386,4.59357,840.849,732.113,732.113,27.4473,2.22217,5.34826,94.6517,804,761,482812,420376
99,7.0.0.142,49154,1.0.0.2,9,36.049,41.0041,4.95506,1183.05,1182.88,1182.88,15.983,1.47261,0.204499,99.7955,978,976,732760,732656
103,7.0.0.84,49154,1.0.0.2,9,41.02,46.0056,4.98556,1175.55,1175.55,1175.55,11.7786,1.23025,0,100,973,973,732600,732600
105,7.0.0.43,49155,1.0.0.2,9,41.031,46.0056,4.97456,1178.07,1178.07,1178.07,10.5059,1.24586,0,100,972,972,732548,732548
107,7.0.0.117,49154,1.0.0.2,9,41.072,46.0041,4.93206,1188.9,1188.9,1188.9,15.3974,1.32251,0,100,980,980,732964,732964
108,7.0.0.45,49154,1.0.0.2,9,41.088,46.0041,4.91606,1192.77,1192.77,1192.77,15.9169,1.3252,0,100,980,980,732964,732964
110,7.0.0.9,49154,1.0.0.2,9,41.091,44.6881,3.59711,473.135,366.569,366.569,17.6013,1.58778,5.33981,94.6602,618,585,212740,164824
112,7.0.0.27,49153,1.0.0.2,9,41.101,46.009,4.90803,1054.42,997.614,997.614,13.0247,1.86979,2.61723,97.3828,917,893,646888,612040
115,7.0.0.84,49155,1.0.0.2,9,46.005,51.0056,5.00056,1157.55,1157.55,1157.55,9.21552,0.844047,0,100,799,799,723552,723552
117,7.0.0.145,49154,1.0.0.2,9,46.029,51.0041,4.97506,1192.55,1178.54,1178.54,27.7375,1.26322,0.609137,99.3909,985,979,741624,732912
118,7.0.0.3,49154,1.0.0.2,9,46.038,0,0,0,0,0,0,0,100,0,3,0,164,0
119,7.0.0.138,49154,1.0.0.2,9,46.042,51.0041,4.96206,1214.24,1181.46,1181.46,13.2641,2.05897,1.40987,98.5901,993,979,753140,732812
122,7.0.0.149,49154,1.0.0.2,9,46.091,51.0041,4.91306,1257.08,1193.25,1193.25,37.4456,1.7442,2.6839,97.3161,1006,979,772016,732812
124,7.0.0.142,49155,1.0.0.2,9,46.124,51.0041,4.88006,1201.56,1201.56,1201.56,22.6595,1.03837,0,100,980,980,732964,732964
126,7.0.0.73,49153,1.0.0.2,9,51.029,56.0056,4.97656,1177.93,1177.93,1177.93,15.2096,1.34267,0,100,976,976,732756,732756
128,7.0.0.28,49155,1.0.0.2,9,51.036,56.0056,4.96956,1179.92,1179.92,1179.92,15.238,1.39876,0,100,980,980,732964,732964
130,7.0.0.5,49155,1.0.0.2,9,51.064,56.0041,4.94006,1186.97,1186.97,1186.97,14.6001,1.38858,0,100,980,980,732964,732964
131,7.0.0.9,49155,1.0.0.2,9,51.067,0,0,0,0,0,0,0,100,0,3,0,164,0
133,7.0.0.72,49154,1.0.0.2,9,51.184,56.0041,4.82006,1216.52,1216.52,1216.52,14.4179,1.39985,0,100,980,980,732964,732964
135,7.0.0.149,49155,1.0.0.2,9,51.196,56.0041,4.80806,1279.86,1214.63,1214.63,14.9121,2.00957,2.84211,97.1579,950,923,769204,730000
137,7.0.0.138,49155,1.0.0.2,9,56.012,60.03,4.01803,1456.97,1456.97,1456.97,11.3097,1.22286,0,100,957,957,731768,731768
139,7.0.0.117,49155,1.0.0.2,9,56.043,60.0546,4.01156,1461.4,1461.4,1461.4,17.0099,1.50197,0,100,979,979,732812,732812
140,7.0.0.132,49154,1.0.0.2,9,56.046,60.053,4.00703,1463.05,1463.05,1463.05,16.1887,1.47722,0,100,979,979,732812,732812
143,7.0.0.28,49156,1.0.0.2,9,56.07,60.03,3.96003,1478.2,1478.2,1478.2,9.61653,1.18174,0,100,956,956,731716,731716
145,7.0.0.135,49153,1.0.0.2,9,56.187,60.0566,3.86956,1515.13,1515.13,1515.13,29.619,1.43734,0,100,980,980,732864,732864
146,7.0.0.144,49155,1.0.0.2,9,56.189,60.0566,3.86756,1515.92,1515.92,1515.92,29.0848,1.44858,0,100,980,980,732864,732864
149,7.0.0.27,49154,1.0.0.2,9,60.118,65.0301,4.91203,1190.44,1190.44,1190.44,14.7481,1.07545,0,100,941,941,730936,730936
151,7.0.0.10,49155,1.0.0.2,9,60.149,65.0286,4.87953,1200.08,1200.08,1200.08,27.0457,1.19146,0,100,961,961,731976,731976
153,7.0.0.9,49156,1.0.0.2,9,60.182,0,0,0,0,0,0,0,100,0,3,0,164,0
154,7.0.0.84,49156,1.0.0.2,9,60.2,65.0286,4.82853,1214.39,1214.39,1214.39,15.0342,1.44635,0,100,980,980,732964,732964
156,7.0.0.48,49153,1.0.0.2,9,60.207,65.0286,4.82153,1216.15,1216.15,1216.15,15.0734,1.42837,0,100,980,980,732964,732964
158,7.0.0.117,49156,1.0.0.2,9,60.215,65.0301,4.81503,1214.34,1214.34,1214.34,9.68414,1.04837,0,100,940,940,730884,730884
160,7.0.0.132,49155,1.0.0.2,9,65.049,70.03,4.981,1162.1,1162.1,1162.1,10.2048,0.888572,0,100,799,799,723552,723552
162,7.0.0.5,49156,1.0.0.2,9,65.124,70.0286,4.90453,1195.49,1195.49,1195.49,17.3679,0.824944,0,100,979,979,732912,732912
164,7.0.0.9,49157,1.0.0.2,9,65.157,0,0,0,0,0,0,0,100,0,3,0,164,0
165,7.0.0.13,49155,1.0.0.2,9,65.17,70.0286,4.85853,1206.89,1206.89,1206.89,30.1913,1.22506,0,100,980,980,732964,732964
167,7.0.0.62,49156,1.0.0.2,9,65.204,70.0321,4.82803,1272,1214.26,1214.26,11.0527,1.81025,2.39282,97.6072,1003,979,767660,732812
169,7.0.0.52,49157,1.0.0.2,9,65.217,70.0286,4.81153,1218.68,1218.68,1218.68,29.9949,1.20778,0,100,980,980,732964,732964
171,7.0.0.135,49154,1.0.0.2,9,70.088,75.0301,4.94203,1185.49,1185.49,1185.49,10.7596,1.19045,0,100,968,968,732340,732340
173,7.0.0.81,49155,1.0.0.2,9,70.101,71.224,1.123,148.204,46.3332,46.3332,5.6713,1.54225,68.75,31.25,400,125,20804,6504
174,7.0.0.131,49156,1.0.0.2,9,70.109,75.0286,4.91953,1192.01,1192.01,1192.01,12.2602,1.1088,0,100,981,981,733016,733016
177,7.0.0.52,49158,1.0.0.2,9,70.134,75.0301,4.89603,1196.54,1196.54,1196.54,9.73394,1.16983,0,100,967,967,732288,732288
179,7.0.0.145,49155,1.0.0.2,9,70.202,75.0286,4.82653,1214.89,1214.89,1214.89,21.7943,0.998607,0,100,980,980,732964,732964
181,7.0.0.136,49155,1.0.0.2,9,70.215,75.0311,4.81603,1225.81,1216.16,1216.16,8.90554,1.32906,0.412371,99.5876,970,966,737944,732136
183,7.0.0.117,49157,1.0.0.2,9,75.033,80.0301,4.99703,1171.27,1171.27,1171.27,11.0458,1.24066,0,100,954,954,731612,731612
185,7.0.0.145,49156,1.0.0.2,9,75.091,80.0301,4.93903,1184.86,1184.86,1184.86,10.6129,1.20514,0,100,952,952,731508,731508
187,7.0.0.59,49153,1.0.0.2,9,75.108,80.031,4.923,1219.91,1189.23,1189.23,11.1271,2.18429,1.33607,98.6639,973,960,750700,731824
189,7.0.0.132,49156,1.0.0.2,9,75.137,80.0285,4.8915,1198.76,1198.76,1198.76,14.4805,1.38314,0,100,980,980,732964,732964
191,7.0.0.81,49156,1.0.0.2,9,75.181,0,0,0,0,0,0,0,100,0,3,0,164,0
192,7.0.0.84,49157,1.0.0.2,9,75.211,80.0285,4.8175,1217.17,1217.17,1217.17,14.6807,1.33675,0,100,980,980,732964,732964
194,7.0.0.84,49158,1.0.0.2,9,80.034,84.0636,4.02953,1436.39,1436.39,1436.39,9.46608,0.876074,0,100,798,798,723500,723500
196,7.0.0.136,49156,1.0.0.2,9,80.048,84.0691,4.02103,1483.96,1457.96,1457.96,36.2808,1.5795,0.910931,99.0891,988,979,745880,732812
198,7.0.0.69,49154,1.0.0.2,9,80.085,84.0621,3.97703,1474.09,1474.09,1474.09,25.479,1.29775,0,100,979,979,732812,732812
200,7.0.0.88,49154,1.0.0.2,9,80.139,84.0621,3.92303,1553.7,1494.48,1494.48,40.0378,1.31741,2,98,1000,980,761904,732864
201,7.0.0.45,49155,1.0.0.2,9,80.142,84.0621,3.92003,1495.52,1495.52,1495.52,25.707,1.382,0,100,979,979,732812,732812
204,7.0.0.150,49153,1.0.0.2,9,80.168,84.0621,3.89403,1505.51,1505.51,1505.51,16.4624,0.645977,0,100,979,979,732812,732812
206,7.0.0.142,49156,1.0.0.2,9,84.0796,88.4496,4.37,1479.66,1341.44,1341.44,38.8247,2.10086,5.04854,94.9515,1030,978,808264,732760
207,7.0.0.136,49157,1.0.0.2,9,84.0976,88.4481,4.3505,1415.53,1346.1,1346.1,12.3605,1.64398,2.63158,97.3684,988,962,769780,732028
210,7.0.0.69,49155,1.0.0.2,9,84.1036,88.4496,4.346,1349.32,1349.32,1349.32,10.9093,1.1805,0,100,981,981,733016,733016
212,7.0.0.135,49155,1.0.0.2,9,84.1216,88.4481,4.3265,1355.02,1355.02,1355.02,14.6665,1.49663,0,100,979,979,732812,732812
214,7.0.0.28,49157,1.0.0.2,9,84.1836,88.4521,4.2685,1371.97,1371.97,1371.97,15.7359,1.43224,0,100,964,964,732032,732032
216,7.0.0.34,49154,1.0.0.2,9,84.2126,88.4481,4.2355,1384.23,1384.23,1384.23,15.5744,1.44291,0,100,980,980,732864,732864
218,7.0.0.142,49157,1.0.0.2,9,88.4496,92.7825,4.33296,1335.9,1335.9,1335.9,10.447,0.869755,0,100,799,799,723552,723552
220,7.0.0.117,49158,1.0.0.2,9,88.4876,92.7811,4.2935,1365.53,1365.53,1365.53,38.2655,1.18969,0,100,980,980,732864,732864
221,7.0.0.27,49155,1.0.0.2,9,88.4906,92.7811,4.2905,1423.25,1366.39,1366.39,26.4226,1.33031,2.1,97.9,1000,979,763304,732812
222,7.0.0.5,49157,1.0.0.2,9,88.4936,92.7811,4.2875,1367.35,1367.35,1367.35,28.976,1.42361,0,100,979,979,732812,732812
224,7.0.0.63,49156,1.0.0.2,9,88.5006,92.7846,4.284,1392.87,1368.46,1368.46,15.5871,1.86681,0.910931,99.0891,988,979,745880,732812
227,7.0.0.45,49156,1.0.0.2,9,88.5126,92.7811,4.2685,1373.43,1373.43,1373.43,28.2864,1.33927,0,100,979,979,732812,732812
230,7.0.0.131,49157,1.0.0.2,9,92.8235,97.7826,4.95903,1177.65,1177.65,1177.65,11.2133,1.12044,0,100,923,923,730000,730000
232,7.0.0.8,49154,1.0.0.2,9,92.8385,97.7811,4.94253,1184.86,1184.86,1184.86,26.8577,1.40153,0,100,962,962,732028,732028
234,7.0.0.9,49158,1.0.0.2,9,92.8695,0,0,0,0,0,0,0,100,0,3,0,164,0
235,7.0.0.10,49156,1.0.0.2,9,92.9335,97.7811,4.84753,1209.63,1209.63,1209.63,31.5575,1.49504,0,100,980,980,732964,732964
237,7.0.0.45,49157,1.0.0.2,9,92.9395,97.7826,4.84303,1205.86,1205.86,1205.86,10.0672,1.11811,0,100,923,923,730000,730000
239,7.0.0.69,49156,1.0.0.2,9,92.9515,97.7811,4.82953,1214.14,1214.14,1214.14,31.8945,1.50722,0,100,980,980,732964,732964
241,7.0.0.150,49154,1.0.0.2,9,97.8015,101.981,4.17953,1402.66,1402.66,1402.66,11.7088,1.2481,0,100,977,977,732808,732808
242,7.0.0.8,49155,1.0.0.2,9,97.8105,101.981,4.17053,1405.79,1405.79,1405.79,11.7808,1.26237,0,100,978,978,732860,732860
245,7.0.0.59,49154,1.0.0.2,9,97.8485,101.986,4.13753,1435,1398.51,1398.51,10.5158,1.63432,1.60692,98.3931,809,796,742172,723296
247,7.0.0.34,49155,1.0.0.2,9,97.8685,101.98,4.111,1424.13,1424.13,1424.13,24.3626,1.26076,0,100,960,960,731824,731824
249,7.0.0.138,49156,1.0.0.2,9,97.9435,101.98,4.036,1452.14,1452.14,1452.14,13.5165,1.29559,0,100,975,975,732604,732604
251,7.0.0.95,49153,1.0.0.2,9,97.9555,101.98,4.024,1456.99,1456.99,1456.99,24.5486,1.27388,0,100,980,980,732864,732864
253,7.0.0.135,49156,1.0.0.2,9,101.997,105.97,3.973,1470.97,1470.97,1470.97,10.5163,1.18019,0,100,933,933,730520,730520
255,7.0.0.28,49158,1.0.0.2,9,102.018,105.969,3.95046,1484,1484,1484,27.8121,1.25244,0,100,979,979,732812,732812
257,7.0.0.10,49157,1.0.0.2,9,102.051,105.969,3.91746,1496.61,1496.61,1496.61,28.7715,1.26882,0,100,980,980,732864,732864
258,7.0.0.132,49157,1.0.0.2,9,102.055,105.972,3.917,1496.68,1496.68,1496.68,15.0004,1.32868,0,100,979,979,732812,732812
260,7.0.0.45,49158,1.0.0.2,9,102.062,105.969,3.90646,1500.82,1500.82,1500.82,28.0565,1.02548,0,100,980,980,732864,732864
263,7.0.0.95,49154,1.0.0.2,9,102.117,105.97,3.853,1516.46,1516.46,1516.46,10.991,1.21763,0,100,930,930,730364,730364
265,7.0.0.66,49153,1.0.0.2,9,105.993,110.73,4.737,1230.56,1230.56,1230.56,10.9773,1.09035,0,100,897,897,728648,728648
267,7.0.0.59,49155,1.0.0.2,9,106.007,110.731,4.724,1257.95,1240.74,1240.74,8.71843,1.41451,0.712106,99.2879,983,976,742820,732656
269,7.0.0.43,49156,1.0.0.2,9,106.053,110.728,4.675,1254.01,1254.01,1254.01,21.0804,1.13629,0,100,979,979,732812,732812
271,7.0.0.13,49156,1.0.0.2,9,106.129,110.728,4.599,1274.46,1274.46,1274.46,21.9921,1.13614,0,100,976,976,732656,732656
272,7.0.0.144,49156,1.0.0.2,9,106.137,110.728,4.591,1276.95,1276.95,1276.95,12.4025,1.05706,0,100,979,979,732812,732812
