round,ndi0_count,ndi1_count
1,419,9003
2,247,8229
3,0,9651
4,331,4143
5,530,7710
6,256,5913
7,223,3481
8,332,3483
9,455,6393
10,266,7376
11,417,4619
12,351,8201
13,140,3832
14,405,4799
15,268,4910
16,365,3214
17,255,2826
18,451,3881
19,122,5194
20,394,5585
21,540,7041
22,261,6145
23,360,7464
24,529,4678
25,293,5435
26,500,4368
27,221,5019
28,279,7511
29,260,4840
30,465,5722
31,468,7382
32,347,5865
33,157,6951
34,185,1687
35,5,3966
36,161,6023
37,300,3753
38,28,2257
39,80,4310
40,91,4067
41,429,3375
42,234,4058
43,405,7305
44,174,2999
45,235,2528
46,492,2590
47,157,7208
48,388,3014
49,267,4004
50,227,5451
51,119,5602
52,403,2285
53,458,3020
54,250,3670
55,312,2616
56,182,4774
57,168,3020
58,405,5253
59,87,1965
60,8,1381
61,197,1595
62,503,4450
63,13,4691
64,65,2586
65,297,4120
66,100,4582
67,1,2277
68,152,6220
69,470,2924
70,115,4860
71,239,3913
72,356,3213
73,594,8724
74,273,2511
75,197,7041
76,194,3657
77,304,4664
78,123,2478
79,87,1475
80,174,1853
81,39,1128
82,158,5826
83,0,2290
84,0,2289
85,0,2161
86,63,6124
87,32,1892
88,139,1505
89,189,1443
90,1,3969
91,99,5020
92,82,3738
93,94,3535
94,251,5436
95,156,4388
96,105,3114
97,183,6119
98,406,4864
99,185,2602
100,247,3905
