round,total_tbSize
1,5098628
2,5720549
3,4851225
4,2681988
5,5192996
6,3937054
7,3283181
8,3644145
9,6322872
10,5433645
11,4577916
12,5746278
13,3846308
14,4806344
15,5321933
16,3928456
17,3143458
18,5181527
19,4566361
20,5421336
21,6103360
22,5265658
23,4717333
24,4531305
25,5159548
26,4884973
27,4576542
28,5839465
29,4989613
30,4664315
31,6652515
32,5008937
33,5438361
34,2268689
35,3194934
36,4465466
37,3699095
38,2422314
39,3473681
40,3891627
41,4106988
42,4686844
43,5127127
44,3461439
45,3368057
46,3336983
47,5282735
48,3552321
49,4022843
50,5207012
51,4807236
52,3851396
53,4297738
54,3706451
55,3734488
56,3629209
57,3860820
58,6143464
59,2967679
60,1681737
61,2155884
62,5001241
63,4042555
64,2635937
65,5123492
66,4240957
67,2383746
68,5330089
69,4092615
70,4192243
71,4308359
72,3088629
73,6368474
74,3228242
75,5361247
76,3476137
77,3947335
78,2606012
79,1956490
80,2760186
81,1930492
82,4231619
83,2388399
84,2381662
85,2447947
86,4072752
87,2802729
88,1947297
89,2332871
90,3206027
91,4578585
92,4058962
93,3662037
94,4418212
95,4875509
96,3699015
97,5585690
98,4991571
99,3026081
100,4279856
