round,count
1,9422
2,8476
3,9651
4,4474
5,8240
6,6169
7,3704
8,3815
9,6848
10,7642
11,5036
12,8552
13,3972
14,5204
15,5178
16,3579
17,3081
18,4332
19,5316
20,5979
21,7581
22,6406
23,7824
24,5207
25,5728
26,4868
27,5240
28,7790
29,5100
30,6187
31,7850
32,6212
33,7108
34,1872
35,3971
36,6184
37,4053
38,2285
39,4390
40,4158
41,3804
42,4292
43,7710
44,3173
45,2763
46,3082
47,7365
48,3402
49,4271
50,5678
51,5721
52,2688
53,3478
54,3920
55,2928
56,4956
57,3188
58,5658
59,2052
60,1389
61,1792
62,4953
63,4704
64,2651
65,4417
66,4682
67,2278
68,6372
69,3394
70,4975
71,4152
72,3569
73,9318
74,2784
75,7238
76,3851
77,4968
78,2601
79,1562
80,2027
81,1167
82,5984
83,2290
84,2289
85,2161
86,6187
87,1924
88,1644
89,1632
90,3970
91,5119
92,3820
93,3629
94,5687
95,4544
96,3219
97,6302
98,5270
99,2787
100,4152
