round,total_numsym
1,74424
2,110401
3,69877
4,92418
5,91060
6,55464
7,70109
8,87681
9,90322
10,30797
11,76583
12,83163
13,44266
14,66022
15,86429
16,56625
17,83443
18,58158
19,94416
20,59576
21,69605
22,60622
23,94626
24,64937
25,78665
26,46795
27,79129
28,45274
29,74252
30,74852
31,57344
32,53962
33,64831
34,77495
35,83734
36,57442
37,56557
38,80895
39,60867
40,76545
41,67374
42,65776
43,89231
44,64034
45,96746
46,78339
47,49562
48,76114
49,71127
50,68642
51,51882
52,48926
53,78781
54,57208
55,59676
56,69372
57,62633
58,89589
59,41004
60,48864
61,61614
62,91727
63,51817
64,83724
65,58597
66,59294
67,66738
68,58890
69,97117
70,75988
71,96952
72,54373
73,80070
74,82393
75,51430
76,92789
77,34001
78,90129
79,57642
80,80951
81,56995
82,61823
83,45066
84,88623
85,72185
86,90319
87,63486
88,80199
89,60851
90,42720
91,95680
92,57522
93,87462
94,58667
95,56078
96,58029
97,58534
98,31902
99,94278
100,64204
