round,start_sim,end_sim,duration_sim,start_wall,end_wall,duration_wall
1,1,6,5,06:46:42,06:53:46,423.72
2,6,11,5,06:53:46,07:01:22,455.946
3,11,16,5,07:01:22,07:08:20,417.931
4,16,20.2701,4.27007,07:08:20,07:14:32,372.031
5,20.2701,24.6225,4.35247,07:14:32,07:20:52,379.862
6,24.6225,29.6225,5,07:20:52,07:27:33,401.165
7,29.6225,34.2461,4.62353,07:27:33,07:34:04,391.374
8,34.2461,39.2461,5,07:34:04,07:41:18,434.2
9,39.2461,43.2016,3.9555,07:41:18,07:47:22,363.552
10,43.2016,48.2016,5,07:47:22,07:53:40,377.694
11,48.2016,53.2016,5,07:53:40,08:00:40,420.39
12,53.2016,57.8266,4.625,08:00:40,08:07:20,399.742
13,57.8266,62.8266,5,08:07:20,08:13:39,379.14
14,62.8266,67.8266,5,08:13:39,08:20:51,432.31
15,67.8266,72.7666,4.94,08:20:51,08:27:52,420.741
16,72.7666,77.7666,5,08:27:52,08:34:56,424.41
17,77.7666,82.7666,5,08:34:56,08:42:13,436.171
18,82.7666,87.7666,5,08:42:13,08:48:58,405.528
19,87.7666,92.7666,5,08:48:58,08:56:05,427.085
20,92.7666,97.7666,5,08:56:05,09:02:45,399.331
21,97.7666,102.767,5,09:02:45,09:09:43,418.244
22,102.767,107.767,5,09:09:43,09:16:23,400.57
23,107.767,112,4.233,09:16:23,09:22:53,389.782
24,112,117,5,09:22:53,09:30:00,427.001
25,117,121.343,4.34347,09:30:00,09:36:28,387.774
26,121.343,126.343,5,09:36:28,09:43:01,392.927
27,126.343,131.343,5,09:43:01,09:49:53,412.254
28,131.343,136.343,5,09:49:53,09:56:04,370.768
29,136.343,140.113,3.77003,09:56:04,10:01:31,327.121
30,140.113,145.113,5,10:01:31,10:08:37,426.015
31,145.113,150.113,5,10:08:37,10:15:13,396.144
32,150.113,155.113,5,10:15:13,10:21:46,393.037
33,155.113,160.113,5,10:21:46,10:28:25,399.109
34,160.113,164.503,4.38947,10:28:25,10:34:35,369.517
35,164.503,168.545,4.042,10:34:35,10:40:21,346.576
36,168.545,173.545,5,10:40:21,10:46:47,386.106
37,173.545,178.545,5,10:46:47,10:53:29,401.407
38,178.545,182.859,4.3145,10:53:29,10:59:46,377.065
39,182.859,187.859,5,10:59:46,11:06:24,398.16
40,187.859,191.878,4.0185,11:06:24,11:12:07,342.746
41,191.878,196.878,5,11:12:07,11:18:54,406.683
42,196.878,201.878,5,11:18:54,11:25:31,397.518
43,201.878,206.878,5,11:25:31,11:32:21,410.276
44,206.878,211.878,5,11:32:21,11:38:55,393.452
45,211.878,215.474,3.59653,11:38:55,11:44:31,336.285
46,215.474,219.306,3.83197,11:44:31,11:50:06,334.544
47,219.306,224.306,5,11:50:06,11:56:43,397.537
48,224.306,228.675,4.36853,11:56:43,12:02:50,367.256
49,228.675,233.675,5,12:02:50,12:09:21,390.841
50,233.675,238.675,5,12:09:21,12:16:13,411.503
51,238.675,243.675,5,12:16:13,12:22:39,386.341
52,243.675,248.675,5,12:22:39,12:28:52,373.311
53,248.675,253.18,4.505,12:28:52,12:35:11,378.373
54,253.18,258.18,5,12:35:11,12:41:48,396.715
55,258.18,263.18,5,12:41:48,12:48:18,390.008
56,263.18,268.154,4.974,12:48:18,12:55:05,407.78
57,268.154,273.154,5,12:55:05,13:01:44,399.19
58,273.154,276.728,3.57446,13:01:44,13:07:16,331.428
59,276.728,281.728,5,13:07:16,13:13:32,375.995
60,281.728,286.728,5,13:13:32,13:19:49,377.366
61,286.728,291.728,5,13:19:49,13:26:21,391.864
62,291.728,295.654,3.92604,13:26:21,13:32:05,344.307
63,295.654,300.654,5,13:32:05,13:38:40,394.052
64,300.654,305.579,4.925,13:38:40,13:45:30,410.531
65,305.579,310.579,5,13:45:30,13:51:55,385.069
66,310.579,315.579,5,13:51:55,13:58:34,398.98
67,315.579,320.579,5,13:58:34,14:05:02,387.885
68,320.579,325.579,5,14:05:02,14:11:27,384.777
69,325.579,329.222,3.6425,14:11:27,14:17:06,339.02
70,329.222,333.025,3.80346,14:17:06,14:22:36,329.798
71,333.025,337.107,4.0815,14:22:36,14:28:33,357.156
72,337.107,342.107,5,14:28:33,14:34:57,383.866
73,342.107,345.994,3.88703,14:34:57,14:40:34,337.427
74,345.994,350.013,4.019,14:40:34,14:46:19,345.232
75,350.013,355.013,5,14:46:19,14:52:44,384.629
76,355.013,358.639,3.626,14:52:44,14:58:17,333.489
77,358.639,363.639,5,14:58:17,15:04:20,362.329
78,363.639,368.406,4.767,15:04:20,15:11:09,408.973
79,368.406,373.406,5,15:11:09,15:17:35,385.819
80,373.406,378.197,4.791,15:17:35,15:24:13,398.852
81,378.197,383.197,5,15:24:13,15:30:44,391.056
82,383.197,388.197,5,15:30:44,15:37:16,391.312
83,388.197,393.197,5,15:37:16,15:43:25,369.636
84,393.197,396.882,3.6855,15:43:25,15:49:01,335.418
85,396.882,401.882,5,15:49:01,15:56:01,420.495
86,401.882,405.972,4.08996,15:56:01,16:01:53,351.308
87,405.972,410.972,5,16:01:53,16:08:17,384.44
88,410.972,415.799,4.827,16:08:17,16:15:02,405.008
89,415.799,420.799,5,16:15:02,16:21:26,383.974
90,420.799,425.799,5,16:21:26,16:27:46,380.373
91,425.799,430.055,4.256,16:27:46,16:33:53,367.04
92,430.055,435.055,5,16:33:53,16:40:27,393.813
93,435.055,438.916,3.86104,16:40:27,16:46:03,336.082
94,438.916,443.916,5,16:46:03,16:52:33,390.116
95,443.916,448.916,5,16:52:33,16:58:57,383.416
96,448.916,453.916,5,16:58:57,17:05:27,390.334
97,453.916,458.916,5,17:05:27,17:12:03,395.943
98,458.916,463.916,5,17:12:03,17:18:07,363.358
99,463.916,468.517,4.601,17:18:07,17:24:44,397.184
100,468.517,473.517,5,17:24:44,17:31:17,393.619
