round,count
1,6492
2,9538
3,5984
4,7869
5,7750
6,4741
7,6032
8,7467
9,7697
10,2631
11,6517
12,7096
13,3767
14,5684
15,7515
16,4851
17,7136
18,5042
19,8102
20,5077
21,5964
22,5194
23,8073
24,5559
25,6710
26,3999
27,6800
28,3851
29,6320
30,6399
31,4926
32,4618
33,5568
34,6622
35,7125
36,4966
37,4879
38,6964
39,5242
40,6520
41,5841
42,5713
43,7593
44,5448
45,8232
46,6660
47,4238
48,6523
49,6051
50,5838
51,4422
52,4169
53,6815
54,4900
55,5089
56,5938
57,5353
58,7620
59,3518
60,4157
61,5244
62,7845
63,4410
64,7161
65,4983
66,5073
67,5679
68,5010
69,8268
70,6462
71,8347
72,4654
73,6820
74,7009
75,4427
76,7890
77,2890
78,7718
79,4912
80,7013
81,4847
82,5344
83,3831
84,7554
85,6195
86,7680
87,5399
88,6956
89,5175
90,3663
91,8146
92,4929
93,7439
94,5008
95,4771
96,4949
97,4988
98,2715
99,8028
100,5462
