round,ul_tbsize,ul_tbsize_std
1,2917911.6,1002311.800543039
2,3682705.0,1023184.9888965059
3,3347056.533333333,1165621.8557210977
4,3888397.466666667,1018641.6716679175
5,3862550.3333333335,615845.4487950072
6,4043190.2666666666,1235638.413424035
7,4139390.533333333,1055252.1063052635
8,4004464.4,875909.4405769517
9,4154413.8,1003379.2958611129
10,4151223.4,968206.2377693092
11,4151233.1333333333,921924.5017663452
12,4199340.0,966618.2779812455
13,4185572.933333333,680828.8447904056
14,3575132.4,785212.7806838457
15,4347638.133333334,655673.5587556256
16,4028671.933333333,548403.064686324
17,4151584.2666666666,770955.1452447493
18,3838026.7333333334,885160.9382669561
19,3614803.0,999455.3938092628
20,3859992.466666667,805232.6037199142
21,3858979.1333333333,1177513.2265716267
22,4140712.6666666665,896178.6699086506
23,4234588.8,1019399.7431142785
24,3671013.8,845814.9812597653
25,3723448.7333333334,989283.9406032503
26,3786555.2666666666,1239615.9917975443
27,3704911.2,1156936.431416437
28,3896980.3333333335,822229.0813778869
29,3842655.8,940445.2602511672
30,3944413.8666666667,1236175.4021841416
31,4233728.8,978167.170178215
32,4253730.733333333,816589.5184500566
33,3623883.0,1059487.8245050428
34,3557636.6,908415.6862295085
35,3850723.3333333335,1041026.4136494374
36,3718645.066666667,1220429.5650361022
37,3685056.933333333,770188.013443885
38,3900398.8666666667,1006337.9501049384
39,3718084.3333333335,986632.6278695681
40,3617893.466666667,1249159.7022342582
41,3693759.0,867126.8612341069
42,3739164.2666666666,1177931.630254033
43,3825216.533333333,900175.2384542268
44,3774296.6,1099034.1562631773
45,3809633.0,851888.7854394073
46,3429747.1333333333,709204.4019833439
47,3653801.6666666665,1467407.6504140445
48,4157560.6666666665,997518.7363536919
49,3617138.6666666665,974848.1961116281
50,3968780.2666666666,894684.8643580333
51,3825352.466666667,929441.6719087607
52,3653334.466666667,989504.7414363314
53,3489107.3333333335,1034279.4809680429
54,4447255.933333334,761797.5874658445
55,3938450.533333333,776745.2757974748
56,3948459.8666666667,1098964.9894659237
57,3315412.466666667,1168663.0263563006
58,3900285.2666666666,1044037.0350971727
59,3962817.4,1072579.0744297332
60,4020602.466666667,813373.9300665088
61,4181753.066666667,773917.9952623688
62,3768720.1333333333,627632.6842673948
63,3722445.7333333334,1451752.7308258635
64,3814233.0,839492.8339302759
65,4010328.0,827050.8601487059
66,3741036.8666666667,1222468.999133245
67,3514517.0,1012059.1650531815
68,3677209.8666666667,1014307.1535666859
69,3770849.3333333335,852024.018342262
70,4059416.2,1585961.5152326003
71,4136539.933333333,1338768.6244395026
72,3708757.4,902620.2491350865
73,4134938.7333333334,1211025.4996990575
74,3797615.466666667,1069082.7630030646
75,3744351.933333333,1462738.1313349812
76,3705617.933333333,771567.626209734
77,3938040.8666666667,927939.638379787
78,3740005.933333333,897956.2662721917
79,3536278.0,1202925.7276631244
80,3381534.933333333,714292.4067110517
81,3707143.6666666665,1093637.0631035082
82,3599737.6666666665,941307.4041069282
83,3725427.0,1030703.8518753649
84,3405308.2666666666,1416078.1083994154
85,3870708.3333333335,841901.2631937537
86,3813283.0,863434.5005000172
87,3700755.3333333335,963527.2242263738
88,3295133.533333333,1041050.753259065
89,3603377.4,1386601.4437177374
90,3375003.2,830685.6898289508
91,3948556.4,1377503.191882628
92,4306166.466666667,1098992.934336826
93,3490457.0,1106116.412793492
94,3953425.8666666667,802733.0995341449
95,3580878.6,993538.2979195258
96,3674274.533333333,1098882.7871626103
97,3874275.1333333333,1411766.9792234465
98,3654025.6666666665,1083928.4597505676
99,3690844.4,1131838.9850927056
100,4064887.6,775464.91136431
