round,ul_numsym,ul_numsym_std
1,68987.06666666667,18228.14991578632
2,73060.06666666667,23922.93226910909
3,75369.53333333334,29151.40398448532
4,76216.6,22259.340764208242
5,72328.86666666667,15602.193512757229
6,82689.53333333334,29370.699568171844
7,80398.06666666667,23943.723521346186
8,70227.86666666667,22164.35421013617
9,78035.33333333333,21290.154926855837
10,75934.13333333333,14871.386331123396
11,78493.2,22381.00094531712
12,76400.13333333333,28167.111026024322
13,68677.46666666666,18374.997904243486
14,62947.666666666664,14703.842095892907
15,72376.8,19799.313946267357
16,70852.0,14168.210225713055
17,73399.06666666667,22497.678773809617
18,70197.66666666667,22468.27778277208
19,61765.2,23963.6596036582
20,65529.666666666664,20379.281627836313
21,69030.66666666667,23384.867560230567
22,75681.6,26424.547883144027
23,69690.8,19901.38627332277
24,59255.066666666666,19281.03324315918
25,60573.2,23439.884459125282
26,64986.46666666667,22762.796686280715
27,62203.26666666667,25667.693019120547
28,67767.26666666666,25421.648809814124
29,63210.86666666667,19937.707802290708
30,74887.0,27838.551304158875
31,71794.6,20904.72705873004
32,69970.6,17850.73811519128
33,66293.06666666667,27651.807281329908
34,62227.0,19098.498938772274
35,65016.8,25523.517355008666
36,58959.4,26535.787965904245
37,59793.4,17381.138479068955
38,63829.4,27637.799653476657
39,65248.933333333334,19122.40074014418
40,64015.0,27899.783186561555
41,61882.2,25132.758012488117
42,58401.53333333333,19889.51771614768
43,60332.0,27438.417915657705
44,63524.13333333333,27452.606006577607
45,55963.13333333333,25121.154898004268
46,50965.066666666666,15334.713879983296
47,58123.8,30968.883831078852
48,67063.93333333333,20277.246250298336
49,53968.13333333333,18121.715485124732
50,65422.53333333333,22088.79891602033
51,63655.933333333334,24214.339300938034
52,60847.13333333333,21091.85004033097
53,47689.333333333336,18594.031114721685
54,72276.53333333334,21205.340688025695
55,62709.46666666667,17426.33659914403
56,58330.6,23810.639638015367
57,47962.4,25966.8528782369
58,61299.4,22657.32208612231
59,68597.93333333333,30386.567174297514
60,67384.06666666667,14195.618119016599
61,70175.73333333334,23579.157423049543
62,51965.066666666666,11329.403265502599
63,57668.4,28465.36546351423
64,58930.26666666667,17296.042835890305
65,67105.0,18114.333925690687
66,60271.86666666667,28863.487416424497
67,49680.13333333333,19365.64080628615
68,63648.2,29930.296056480485
69,59851.13333333333,23754.18608181564
70,61645.8,30091.822812375933
71,60564.86666666667,25861.265737631267
72,57734.46666666667,21163.81753933102
73,63095.86666666667,26289.50676021211
74,55148.0,22281.083129609553
75,55961.26666666667,34148.99442457309
76,56253.2,26125.169028024626
77,61635.933333333334,22835.53644922338
78,53937.6,18977.10165586786
79,56248.066666666666,34350.02966200979
80,48592.066666666666,17542.87618732486
81,54844.46666666667,21598.68744645201
82,51481.53333333333,20420.79647903321
83,52545.933333333334,21653.922377998424
84,50777.73333333333,25373.76612472774
85,63100.13333333333,23237.60977955062
86,63638.26666666667,24223.661418027583
87,56659.933333333334,24302.571778860496
88,47689.0,23875.04536420522
89,53567.53333333333,33722.11246108546
90,51308.73333333333,19973.870836908998
91,61978.066666666666,30245.76968641746
92,74815.2,33747.07432440837
93,55658.13333333333,25327.015048494497
94,65319.53333333333,28242.25156662232
95,54033.8,24033.379172666144
96,61757.86666666667,30077.447861115066
97,59098.066666666666,29758.73716470669
98,55861.8,26391.65672870338
99,60425.73333333333,33852.93044387879
100,62240.13333333333,19669.447889218107
