round,sched_cfg_cnt_mean,sched_cfg_cnt_std
1,6045.8,1583.2534405908793
2,6379.2,2086.650775080214
3,6599.533333333334,2465.6642358215613
4,6643.466666666666,1962.2049502196926
5,6297.933333333333,1378.1135898998555
6,7220.866666666667,2565.0721757226765
7,7003.866666666667,2131.2507014382313
8,6140.866666666667,1961.4204352482727
9,6804.8,1879.041404546478
10,6625.466666666666,1287.7927887151204
11,6843.8,1932.2752391934227
12,6611.666666666667,2426.3845433856836
13,5941.533333333334,1605.5122398726683
14,5480.066666666667,1305.9927513836617
15,6287.666666666667,1771.9042890415412
16,6166.333333333333,1262.6108249330414
17,6375.933333333333,1957.221042581499
18,6105.6,1995.7573857704106
19,5361.266666666666,2107.3751603989895
20,5709.4,1787.7893292315753
21,6035.866666666667,2057.26072612056
22,6582.533333333334,2309.247832602848
23,6034.733333333334,1755.3505334371523
24,5180.133333333333,1683.893314684186
25,5250.6,2056.0536680043847
26,5653.8,1960.1479608875009
27,5400.2,2244.540621151687
28,5908.133333333333,2258.2218626504305
29,5467.8,1744.5132026687886
30,6468.933333333333,2392.55967134623
31,6225.666666666667,1822.8271866474213
32,6075.133333333333,1567.6474579384717
33,5741.8,2403.7028043060086
34,5432.533333333334,1730.132813509111
35,5607.266666666666,2222.1298491912366
36,5098.8,2308.088949759086
37,5208.933333333333,1564.8818059734308
38,5521.866666666667,2390.6815784465753
39,5683.4,1711.313647465011
40,5525.0,2418.170087365356
41,5331.066666666667,2180.445087809455
42,5064.2,1749.9466604116005
43,5196.933333333333,2375.5148153811288
44,5575.4,2473.3870877228837
45,4849.2,2209.631843931085
46,4395.2,1341.780224712144
47,5013.333333333333,2692.655398530992
48,5785.733333333334,1743.64013598263
49,4661.2,1579.8279834028947
50,5656.066666666667,1936.8147808291055
51,5518.933333333333,2099.0718515799404
52,5256.133333333333,1824.4479347645597
53,4115.866666666667,1621.7300667878765
54,6237.2,1824.5146203853783
55,5421.6,1502.8982381670805
56,5067.866666666667,2098.421783377303
57,4149.466666666666,2255.775820506318
58,5305.4,1971.4882630714724
59,5930.6,2676.353564086778
60,5841.933333333333,1240.8104762997602
61,6092.866666666667,2071.9827931809896
62,4480.0,992.687333885722
63,4977.933333333333,2459.3874227616307
64,5081.6,1508.7861630179027
65,5809.4,1599.7816279551585
66,5194.6,2491.081027528869
67,4271.2,1659.0447854111712
68,5474.266666666666,2565.092186220512
69,5150.266666666666,2034.4434643223217
70,5370.0,2641.1981858889076
71,5239.066666666667,2241.815764912345
72,5014.066666666667,1864.2268204527145
73,5465.2,2278.558008917043
74,4772.733333333334,1947.7209930240695
75,4853.133333333333,2994.532848534539
76,4858.733333333334,2246.961391577099
77,5342.533333333334,1982.383589328285
78,4667.0,1677.5432717433637
79,4880.4,2988.8247523064983
80,4177.6,1503.5881750000563
81,4746.066666666667,1870.3593797780704
82,4430.333333333333,1751.1485890558747
83,4537.133333333333,1886.1768916691422
84,4382.666666666667,2217.7478172579454
85,5466.8,2011.4164589732707
86,5501.0,2096.7175707349265
87,4900.466666666666,2128.573830615455
88,4096.933333333333,2056.212935980911
89,4606.4,2901.917710756113
90,4422.2,1735.6238565508863
91,5334.666666666667,2609.1676195037116
92,6461.133333333333,2904.431635244583
93,4798.2,2183.2373799344077
94,5640.733333333334,2437.6281348494326
95,4651.533333333334,2085.478049569953
96,5370.266666666666,2669.950386555276
97,5098.533333333334,2578.0085023318366
98,4821.733333333334,2301.474479752574
99,5201.333333333333,2903.8679787647434
100,5382.6,1710.1783031518755
