round,total_numsym
1,79122
2,81426
3,57901
4,64596
5,85586
6,94621
7,75357
8,41823
9,52848
10,72635
11,87625
12,89209
13,68553
14,65985
15,85237
16,46461
17,90767
18,69091
19,107093
20,63228
21,50892
22,55517
23,87579
24,66026
25,38260
26,65440
27,113511
28,58632
29,44492
30,77303
31,60475
32,75862
33,65904
34,41611
35,57648
36,108540
37,74624
38,39713
39,92690
40,83339
41,93422
42,31919
43,53451
44,27020
45,58262
46,60738
47,55234
48,91621
49,74724
50,16236
51,72693
52,72066
53,60240
54,88212
55,44026
56,36850
57,40420
58,46020
59,92596
60,86124
61,53858
62,52419
63,58988
64,33259
65,77367
66,36661
67,45398
68,69141
69,53984
70,69130
71,80511
72,94829
73,116466
74,76108
75,95468
76,39332
77,55575
78,35611
79,18236
80,67159
81,74138
82,37790
83,108100
84,97130
85,76839
86,66218
87,50158
88,46074
89,41556
90,53187
91,55325
92,75447
93,49807
94,55213
95,48428
96,29256
97,24609
98,68203
99,58983
100,59125
