round,total_ul_rbg
1,42593
2,34453
3,23073
4,44564
5,53486
6,51765
7,46452
8,31410
9,30671
10,42880
11,49665
12,50797
13,41654
14,26961
15,47858
16,31316
17,43435
18,40626
19,56072
20,33017
21,33226
22,38664
23,49215
24,47326
25,29561
26,41025
27,49280
28,33493
29,27854
30,51586
31,43235
32,55347
33,33332
34,33025
35,35657
36,59388
37,40879
38,35101
39,48993
40,38242
41,49992
42,25894
43,43052
44,26674
45,33871
46,38179
47,35047
48,54138
49,54157
50,18222
51,41564
52,38769
53,40098
54,53462
55,30641
56,30814
57,31530
58,32525
59,56053
60,64075
61,37082
62,45396
63,40185
64,27889
65,39135
66,34917
67,37661
68,44890
69,42370
70,42276
71,56339
72,47949
73,71592
74,54721
75,60635
76,31862
77,36081
78,31806
79,18700
80,52705
81,51563
82,33159
83,62693
84,58475
85,43319
86,47117
87,38025
88,38851
89,31337
90,39040
91,44240
92,50016
93,36570
94,42121
95,39868
96,28374
97,22343
98,38785
99,41573
100,44815
