round,total_ul_rbg
1,39749
2,38339
3,38670
4,38761
5,38536
6,40905
7,38130
8,37804
9,38571
10,37927
11,38503
12,37181
13,37682
14,40486
15,37815
16,37194
17,37699
18,39191
19,40923
20,38323
21,40103
22,40031
23,39047
24,39168
25,36906
26,37568
27,37121
28,36798
29,36429
30,37475
31,36703
32,33432
33,33144
34,31813
35,33059
36,33210
37,33856
38,32115
39,34542
40,33482
41,33062
42,32498
43,32737
44,31402
45,32291
46,31687
47,32568
48,33248
49,28320
50,22605
51,25615
52,24956
53,24772
54,24306
55,23606
56,23250
57,23187
58,24930
59,23886
60,26030
61,23695
62,23805
63,23137
64,23124
65,23566
66,23202
67,24327
68,23708
69,23357
70,24703
71,25372
72,25568
73,23197
74,24006
75,24627
76,23900
77,23263
78,23085
79,22829
80,24107
81,25542
82,22504
83,24942
84,25376
85,24273
86,23842
87,23564
88,23371
89,23457
90,23049
91,23187
92,24442
93,22506
94,25026
95,23716
96,22168
97,22726
98,23422
99,23584
100,23385
