round,start,end,dur_s,dest,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
1,1,6,5,1.0.0.2,4874.77,4769.3,4769.3,22.6994,1.66774,11.2364,88.7636,5055,4487,3046734,2980813
1,1,6,5,5.0.0.2,6538.45,4255,4255,8.91987,1.05859,34.9292,65.0708,3885,2528,4086534,2659378
2,6,11,5,1.0.0.2,4005.17,3831.35,3831.35,22.7035,2.21377,13.5185,86.4815,4897,4235,2503230,2394591
2,6,11,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
3,11,16,5,1.0.0.2,3143.46,2870.89,2870.89,20.2835,1.78331,3.17693,96.8231,4092,3962,1964665,1794303
3,11,16,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
4,16,21,5,1.0.0.2,4509.32,4286.87,4286.87,16.8245,1.80108,20.8911,79.1089,5409,4279,2818323,2679297
4,16,21,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
5,21,26,5,1.0.0.2,5459.03,5338.47,5338.47,20.2403,1.91819,10.7542,89.2458,5012,4473,3411891,3336545
5,21,26,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
6,26,31,5,1.0.0.2,6068.68,5963.67,5963.67,22.2933,1.90902,0.941481,99.0585,5417,5366,3792923,3727294
6,26,31,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
7,31,36,5,1.0.0.2,5834.52,5635.58,5635.58,27.5855,1.81921,10.5376,89.4624,5618,5026,3646577,3522240
7,31,36,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
8,36,41,5,1.0.0.2,2699.14,2447.73,2447.73,17.1061,2.84979,18.8714,81.1286,3296,2674,1686960,1529833
8,36,41,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
9,41,46,5,1.0.0.2,3416.74,3247.76,3247.76,23.0897,1.75408,24.5598,75.4402,4316,3256,2135464,2029852
9,41,46,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
10,46,51,5,1.0.0.2,4839.1,4711.78,4711.78,18.5813,1.58429,1.32259,98.6774,4839,4775,3024436,2944865
10,46,51,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
11,51,56,5,1.0.0.2,5499.82,5284.02,5284.02,26.4696,2.32137,1.94156,98.0584,5202,5101,3437388,3302515
11,51,56,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
12,56,61,5,1.0.0.2,5927.27,5862.11,5862.11,18.7894,1.7318,0.591113,99.4089,4906,4877,3704542,3663818
12,56,61,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
13,61,66,5,1.0.0.2,4937.62,4830.52,4830.52,19.7891,1.30693,9.88868,90.1113,5390,4857,3086015,3019072
13,61,66,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
14,66,71,5,1.0.0.2,2908.97,2514.38,2514.38,28.8562,2.29464,6.06802,93.932,4087,3839,1818104,1571488
14,66,71,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
15,71,76,5,1.0.0.2,5866.59,5784.95,5784.95,19.7122,1.57921,0.717066,99.2829,4881,4846,3666617,3615593
15,71,76,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
16,76,81,5,1.0.0.2,2964.67,2742.52,2742.52,13.8631,1.64229,24.0701,75.9299,4167,3164,1852919,1714077
16,76,81,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
17,81,86,5,1.0.0.2,5355.4,5203.65,5203.65,25.7523,2.03681,1.44988,98.5501,4828,4758,3347124,3252280
17,81,86,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
18,86,91,5,1.0.0.2,3923.19,3731.77,3731.77,16.2615,2.3318,2.28107,97.7189,3814,3727,2451992,2332356
18,86,91,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
19,91,96,5,1.0.0.2,6400.7,6176.46,6176.46,23.0455,2.04649,1.79323,98.2068,5465,5367,4000435,3860290
19,91,96,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
20,96,101,5,1.0.0.2,3651.42,3371.61,3371.61,19.5654,2.90621,4.94613,95.0539,4084,3882,2282135,2107258
20,96,101,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
21,101,106,5,1.0.0.2,3278.88,3013.49,3013.49,17.5524,2.37511,29.7606,70.2394,4553,3198,2049301,1883433
21,101,106,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
22,106,111,5,1.0.0.2,4131.11,3899.49,3899.49,25.6984,3.02116,13.927,86.073,3863,3325,2581944,2437182
22,106,111,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
23,111,116,5,1.0.0.2,5440.41,5311.05,5311.05,17.5917,1.63675,1.12884,98.8712,5138,5080,3400253,3319405
23,111,116,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
24,116,121,5,1.0.0.2,4951.07,4735.34,4735.34,18.2408,1.90264,2.1272,97.8728,4654,4555,3094418,2959588
24,116,121,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
25,121,126,5,1.0.0.2,3638.53,3616.58,3616.58,17.5705,1.49314,0.336134,99.6639,2975,2965,2274081,2260360
25,121,126,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
26,126,131,5,1.0.0.2,4786.61,4684.73,4684.73,28.9577,1.88578,1.11845,98.8815,3934,3890,2991633,2927956
26,126,131,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
27,131,136,5,1.0.0.2,6041.93,5877.99,5877.99,34.4508,2.0791,8.49649,91.5035,5414,4954,3776208,3673743
27,131,136,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
28,136,141,5,1.0.0.2,3891.13,3794.53,3794.53,20.6074,1.8557,10.5713,89.4287,4096,3663,2431957,2371580
28,136,141,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
29,141,146,5,1.0.0.2,2786.19,2662.9,2662.9,17.4749,1.93658,1.80802,98.192,3042,2987,1741367,1664315
29,141,146,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
30,146,151,5,1.0.0.2,5899.95,5824.4,5824.4,20.2346,1.38106,0.657084,99.3429,4870,4838,3687469,3640249
30,146,151,5,5.0.0.2,6571.76,4274.4,4274.4,8.9201,1.05848,34.9808,65.0192,3905,2539,4107349,2671500
31,151,156,5,1.0.0.2,4262.66,3981.86,3981.86,28.6127,2.64248,3.43532,96.5647,3726,3598,2664160,2488664
31,151,156,5,5.0.0.2,5673.51,4001.3,4001.3,8.99777,1.06803,29.4868,70.5132,3371,2377,3545945,2500813
32,156,161,5,1.0.0.2,6006.18,5885.76,5885.76,22.2521,1.76293,1.05051,98.9495,4950,4898,3753862,3678603
32,156,161,5,5.0.0.2,4722.32,3712.1,3712.1,9.09431,1.07941,21.4184,78.5816,2806,2205,2951452,2320065
33,161,166,5,1.0.0.2,3730.52,3549.96,3549.96,18.792,2.05171,2.02736,97.9726,4094,4011,2331577,2218723
33,161,166,5,5.0.0.2,4722.32,3712.1,3712.1,9.09431,1.07941,21.4184,78.5816,2806,2205,2951452,2320065
34,166,171,5,1.0.0.2,3947.81,3891.29,3891.29,16.5049,1.44087,1.85185,98.1481,3672,3604,2467384,2432054
34,166,171,5,5.0.0.2,4722.32,3712.1,3712.1,9.09431,1.07941,21.4184,78.5816,2806,2205,2951452,2320065
35,171,176,5,1.0.0.2,3758.67,3557.59,3557.59,15.4696,2.16351,2.38713,97.6129,3854,3762,2349168,2223494
35,171,176,5,5.0.0.2,4722.32,3712.1,3712.1,9.09431,1.07941,21.4184,78.5816,2806,2205,2951452,2320065
36,176,181,5,1.0.0.2,6205.02,6044.3,6044.3,20.4151,1.86584,1.25628,98.7437,5572,5502,3878139,3777685
36,176,181,5,5.0.0.2,4722.32,3712.1,3712.1,9.09431,1.07941,21.4184,78.5816,2806,2205,2951452,2320065
