round,ids
1,15;102;36;125
2,87;122;68
4,133;76
5,76;139;148;12
6,108;60;66;147
7,128;38;13
8,141
9,128;34
10,66;128;147
11,44;5;91
12,20;70;44;87;63
13,139;141;131;80
14,117
15,4;137;144;145
16,70;90
17,148;32;83
18,6;147
19,80;133;75;143
20,76
21,102;42
22,38;21;89
23,108;100;75;42
24,24;80;115
25,42;125;27
26,100;8;93;13
27,68;33;38;121;107
28,72;114;143
29,83;50
30,5;131;32;110
31,51;38
32,98;142;68;36;110
33,107;13
34,139;4;38
35,5;131
36,71;5;76;55
37,75;148
38,98;90
39,4;47;32
40,81;27;72;125
41,15;100;98;81;91
42,49;24
43,71;13;58
44,44;139
45,15;58;38
46,116;124;87;70
47,51;133;68
48,55;96;3;80;26
49,88;56;129;115
50,81;80
51,99
52,62;18;136
53,100;13;134
54,7;68;72;75;17
55,44;134;18
56,108;115;134
57,7;65;21
58,26
59,46;72;70;111;47
60,62;145;7;50
61,81;45;18;65
62,133;131;135;66
63,15;18;63
64,83;80;36
65,87;108;47;34
66,128;112
67,87;9
68,75;95;130;44
69,139;124;13;63
70,127;26;23
71,44;131;133;42;107
72,6;8
73,112;124;18;27;60;134
74,51;72;144;81;125
75,139;110;5;88;33
76,125;21;91
77,8;116;34
78,112;111;69
79,80;149
80,95;130;134;135
81,8;110;147;63
82,147;92;129
83,130;88;26;44;101
84,122;51;140;93;24
85,128;100;26;63
86,102;122;125
87,147;129;134
88,72;80;145
89,21;7;137
90,13;144;83;111
91,68;133;111
92,6;71;130;5;38
93,96;100;4;7
94,115;60;102;112
95,128;114;56;91
96,60;96;125
97,131
98,121;125;24;60
99,49;130;75;48
100,3;20;110;92
