round,total_tbSize
1,3772362
2,3022562
3,2197215
4,4263089
5,5130636
6,4705261
7,4278045
8,3215537
9,2772396
10,3894921
11,4654840
12,4671729
13,3701316
14,2742573
15,4373836
16,3043653
17,3964958
18,3976434
19,5223205
20,3257998
21,3152960
22,3818986
23,4660909
24,4687104
25,2762532
26,3781441
27,4455106
28,3031985
29,2621052
30,4785907
31,4088495
32,5154089
33,3256501
34,3150844
35,3511976
36,5538252
37,3923370
38,3480669
39,4458633
40,3432483
41,4627583
42,2429854
43,4171758
44,2538692
45,3190662
46,3436850
47,3161509
48,4906041
49,5119646
50,1629698
51,3655523
52,3532914
53,3801782
54,4964117
55,2719494
56,2856769
57,2843528
58,3163756
59,5235076
60,5968074
61,3301143
62,4131719
63,3736547
64,2495664
65,3430767
66,3379277
67,3482468
68,4086382
69,3896136
70,4175824
71,5213148
72,4579491
73,6797067
74,5000977
75,5548256
76,3082610
77,3302460
78,2869881
79,1706178
80,4814586
81,4998887
82,3122075
83,5632914
84,5430405
85,3938144
86,4170892
87,3553897
88,3694544
89,2938679
90,3538957
91,4127842
92,4443272
93,3263235
94,3936034
95,3577736
96,2538977
97,2121777
98,3458211
99,3840941
100,4134501
