round,total_tbSize
1,4798895
2,5221997
3,4928072
4,2717046
5,3473343
6,4898842
7,3936980
8,4213502
9,4908373
10,5545140
11,4195149
12,5035114
13,5038694
14,3927663
15,5413532
16,4326501
17,2909596
18,4007727
19,5007709
20,4191254
21,4909088
22,4537548
23,4871714
24,3641808
25,4803709
26,4760831
27,5612090
28,4261369
29,5391803
30,4560379
31,6155544
32,5022729
33,5299131
34,2453270
35,3557013
36,5820176
37,2211591
38,3630255
39,3276856
40,4481193
41,3833261
42,2624241
43,4799053
44,4825982
45,4390977
46,2495222
47,5087314
48,2914345
49,4133081
50,4914928
51,4268639
52,3340900
53,2134141
54,4650305
55,3876206
56,3845639
57,4596787
58,5365853
59,3800256
60,4104943
61,3107753
62,3387954
63,5625946
64,4094903
65,4208485
66,4559346
67,4223840
68,5127731
69,3207776
70,6017045
71,5947159
72,3157968
73,5696954
74,3030741
75,5457233
76,4772029
77,5205404
78,3093989
79,3016933
80,1939522
81,4064478
82,5475890
83,3753305
84,2933628
85,3484552
86,4327726
87,2761422
88,1688233
89,1724624
90,3345911
91,4201226
92,4451109
93,3530453
94,4117109
95,4506463
96,3973058
97,6351923
98,4937081
99,1681419
100,5204575
