round,success_count
1,4
2,5
3,6
4,2
5,3
6,4
7,3
8,2
9,5
10,5
11,3
12,5
13,4
14,3
15,4
16,2
17,2
18,2
19,5
20,3
21,5
22,5
23,4
24,2
25,4
26,3
27,5
28,4
29,5
30,3
31,5
32,5
33,6
34,2
35,4
36,5
37,2
38,4
39,4
40,5
41,3
42,3
43,5
44,3
45,2
46,1
47,6
48,2
49,4
50,5
51,5
52,2
53,2
54,3
55,3
56,4
57,2
58,4
59,3
60,3
61,3
62,3
63,5
64,3
65,3
66,5
67,4
68,6
69,2
70,5
71,6
72,2
73,4
74,3
75,6
76,4
77,3
78,3
79,2
80,2
81,4
82,6
83,4
84,3
85,3
86,5
87,3
88,2
89,1
90,4
91,5
92,4
93,4
94,4
95,5
96,3
97,5
98,4
99,2
100,5
