round,total_numsym
1,106625
2,117783
3,152199
4,67849
5,74195
6,97029
7,64196
8,75127
9,115788
10,80641
11,63101
12,95476
13,81300
14,65750
15,80967
16,50444
17,36371
18,60599
19,85440
20,77906
21,99888
22,97724
23,63860
24,60716
25,72953
26,62646
27,77108
28,84700
29,92156
30,81122
31,95869
32,85879
33,122663
34,41330
35,70922
36,104440
37,29373
38,64036
39,52271
40,83219
41,56111
42,25844
43,75939
44,70792
45,69081
46,44694
47,80792
48,40543
49,64912
50,99331
51,108402
52,51737
53,31447
54,57768
55,51705
56,59930
57,81137
58,84083
59,54768
60,51706
61,41006
62,62324
63,97820
64,51724
65,72115
66,78749
67,49695
68,110265
69,48314
70,75633
71,88097
72,57493
73,104363
74,47799
75,111600
76,75654
77,97227
78,47774
79,33251
80,28719
81,55269
82,99054
83,38819
84,44113
85,41436
86,97851
87,34640
88,18357
89,17250
90,56226
91,85351
92,59039
93,59054
94,72273
95,80324
96,59309
97,114815
98,64910
99,14520
100,70577
