round,total_ul_rbg
1,52046
2,57111
3,55320
4,29597
5,38315
6,51442
7,41984
8,43861
9,54653
10,59878
11,45353
12,55238
13,53343
14,41759
15,56024
16,43671
17,30090
18,42474
19,55140
20,45749
21,53585
22,51028
23,51837
24,39330
25,51359
26,49503
27,60112
28,45911
29,59129
30,47700
31,66462
32,53152
33,58268
34,26698
35,39561
36,62982
37,24289
38,41048
39,36650
40,49511
41,38635
42,29351
43,51583
44,51282
45,47965
46,24751
47,56136
48,30532
49,45653
50,54862
51,48282
52,35409
53,22682
54,49412
55,41565
56,41569
57,50201
58,57511
59,41367
60,47054
61,33703
62,36696
63,60654
64,43827
65,45416
66,50236
67,45026
68,57406
69,32992
70,64963
71,65280
72,33436
73,60607
74,31214
75,60004
76,51481
77,54370
78,33768
79,30891
80,20971
81,44183
82,59340
83,40106
84,32022
85,37498
86,47953
87,30688
88,18526
89,17520
90,37151
91,46572
92,48046
93,39561
94,44596
95,50184
96,42339
97,69579
98,50791
99,18887
100,54003
