round,total_numsym
1,79136
2,55245
3,62280
4,79884
5,62562
6,89088
7,72062
8,72294
9,74641
10,71004
11,56421
12,98886
13,74554
14,55736
15,89706
16,66018
17,73776
18,57563
19,18983
20,74591
21,85467
22,51207
23,58969
24,33402
25,32453
26,76854
27,20125
28,32855
29,78819
30,112349
31,56506
32,54505
33,62001
34,53567
35,51899
36,48947
37,73777
38,72793
39,42263
40,25995
41,38473
42,51963
43,70890
44,38868
45,50489
46,40337
47,11425
48,90068
49,78465
50,41605
51,76125
52,47598
53,27824
54,88799
55,83240
56,55502
57,32789
58,62051
59,134327
60,79760
61,34205
62,60724
63,62820
64,56542
65,87580
66,31310
67,34674
68,52323
69,43468
70,82773
71,69223
72,57605
73,63442
74,64033
75,9277
76,80046
77,39879
78,35264
79,74741
80,59724
81,77557
82,53124
83,53472
84,44882
85,58486
86,53180
87,63654
88,81183
89,17196
90,51061
91,11681
92,78887
93,46022
94,57464
95,36199
96,20198
97,49483
98,42525
99,55706
100,40052
