round,count
1,6933
2,4781
3,5451
4,7046
5,5424
6,7935
7,6278
8,6251
9,6491
10,6336
11,4929
12,8618
13,6449
14,4907
15,7694
16,5655
17,6430
18,4974
19,1623
20,6535
21,7485
22,4486
23,5117
24,2889
25,2790
26,6664
27,1721
28,2824
29,6754
30,9598
31,4841
32,4663
33,5342
34,4680
35,4459
36,4218
37,6415
38,6278
39,3667
40,2220
41,3304
42,4543
43,6078
44,3349
45,4303
46,3481
47,975
48,7737
49,6758
50,3592
51,6566
52,4056
53,2375
54,7625
55,7245
56,4773
57,2799
58,5328
59,11889
60,7003
61,2945
62,5275
63,5362
64,4860
65,7636
66,2709
67,2973
68,4599
69,3757
70,7320
71,5961
72,4970
73,5520
74,5609
75,789
76,6968
77,3494
78,3061
79,6516
80,5130
81,6793
82,4602
83,4622
84,3835
85,5083
86,4565
87,5516
88,6982
89,1476
90,4451
91,1000
92,6802
93,3939
94,4967
95,3091
96,1734
97,4260
98,3689
99,4783
100,3457
