round,total_tbSize
1,3239664
2,3735242
3,3738353
4,3924826
5,3915436
6,4002042
7,4432679
8,4971785
9,4339931
10,3359366
11,4436665
12,4035405
13,4415574
14,3928105
15,4587673
16,3842446
17,4805160
18,4017351
19,1728773
20,4191341
21,5908279
22,4129332
23,4498581
24,2872616
25,1617951
26,4615483
27,1413414
28,2719060
29,3687470
30,5535500
31,3849065
32,4257174
33,4145380
34,3299298
35,3749551
36,3134107
37,4296048
38,4726602
39,2659944
40,2268159
41,3142669
42,3742578
43,4498708
44,3505829
45,3480476
46,3995548
47,1495769
48,5609951
49,5387833
50,2648757
51,4444131
52,4030601
53,3010073
54,4500103
55,5059879
56,3594748
57,2782920
58,3622969
59,4762093
60,4063814
61,3262233
62,4802820
63,4729996
64,4225805
65,4523493
66,2379519
67,2722597
68,4133278
69,3848849
70,4697624
71,5070849
72,4076511
73,4261493
74,4095570
75,1243052
76,4756649
77,3384082
78,3175927
79,4218457
80,4047274
81,5176918
82,4184360
83,3260754
84,3591015
85,3320670
86,3320562
87,4941284
88,4638211
89,2018361
90,4200112
91,1105700
92,4866689
93,3292498
94,4099257
95,2743286
96,2382520
97,3850619
98,3754571
99,3755560
100,3216836
