round,ids
1,4.21903
2,3.30907;3.55853
3,3.84503;4.11907;4.32157
4,3.56053;3.85257
5,3.16657;3.27153;4.13306
6,3.59206;3.64706;3.81807;4.12053
7,3.05857;4.04203
8,2.84956;3.26707;3.42357;4.87453
9,2.99457;3.27606;3.72007;4.42207
10,3.98507;4.01903
11,3.89556;4.17557
12,3.82657;4.14253;4.14407;4.24003
13,2.88357;3.34253;3.40107
14,2.78506;3.78006
15,3.24006;3.63357;3.63807;3.65106
16,2.85403;3.18257;3.30607;3.57803
17,3.08803;4.31753;4.34107;4.81007
18,2.94757;3.07803
19,2.97953
20,3.17556;3.19857;3.38453;3.54557
21,2.75357;4.14057
22,3.11007
23,2.42857;2.58407;3.64707;4.91656
24,1.79707
25,2.54657
26,3.11207;3.20007;3.58057;3.76357
27,2.06057
28,1.60007;2.36553;2.41507
29,3.15303;3.17557;3.26003;3.42407
30,3.16207;3.42207;3.78907;4.00007;4.30307;4.72253
31,2.14354;2.575;2.59254;4.05903
32,2.25154;2.61404;3.41804;4.00854
33,2.668;3.10854;3.64603
34,2.58504;2.87154;3.03704
35,1.97;2.387;2.55354;3.50504
36,2.82154;3.40004;3.53154
37,2.72204;3.19654;3.19754;4.79604
38,2.71204;2.97954;3.52904;3.53454
39,1.85104;2.43954;2.50954
40,1.9885
41,1.8555;2.16504;3.93004
43,2.71104;2.95754;3.13754;4.2525
44,2.1065;2.79254;4.59454
45,2.2455;2.56253;2.59404
46,1.91354;2.244;2.67355
47,2.1425
48,2.36904;2.97004;3.31853;3.45354;3.76854
49,2.51104;2.92104;3.22154;3.98554;4.34504
50,2.00954;2.45754;2.524
51,2.81754;3.25404;3.49254;4.04404
52,2.15704;2.21904;2.677;3.967
53,1.33104;1.7575
54,2.30904;2.8505;2.92854;2.93004;3.71954
55,3.01354;3.28904;4.22104
56,2.21154;2.62153;2.75004;3.03654
57,2.01104;2.06404;2.3425
58,2.41954;2.65903;3.208;3.35954
59,4.40203;4.642;4.6505;4.84304
60,2.93354;3.32504;3.82254;3.97104
61,1.76354;2.31904;3.98153
62,2.90554;4.51204
63,2.22154;2.47754;2.8745;2.96854
64,2.09954;2.36704;3.19904;4.10904
65,2.94553;3.42804;3.8905;4.14054;4.82554
66,2.00954;2.377
67,2.08904;2.21904;3.05454
68,2.60954;2.61304;2.83554;4.81104
69,3.00054;3.24504;3.72454
70,2.95654;3.41604;3.6945
71,2.79953;2.92204;3.06654;3.66903;4.27404
72,2.377;2.484;3.12104;4.61904
73,2.39603;2.73554;3.94504
74,2.91804;3.5645
75,1.15103
76,2.9135;3.6685;4.65854
77,2.47654;4.56754
78,2.35954;3.18404
79,2.52104;3.04404;3.04404;3.98904
80,2.46004;2.87854;2.90754
81,2.44854;3.10754;4.255;4.57904
82,2.36904;3.208;3.23704;3.51404
83,2.91753;2.94554;3.87204
84,1.81454;2.29803;2.70554;2.815
85,2.50604;2.70454;3.20904
86,2.28854;2.92004;2.92054
87,2.69604;2.96854;4.3765
88,2.65104;3.34904;3.423;3.86054;3.86054
89,1.3235;2.74204
90,2.37253;4.38704;4.48904
91,1.49654
92,2.772;3.23704;3.2375;4.00354
93,2.13504;2.1505;3.13703
94,2.51154;2.89654;3.05954;3.57704
95,1.74154;2.10054;2.25254
96,1.96754;3.96954
97,2.5575;2.9235;4.93104
98,4.12154
99,2.34004;2.47904;2.64054;3.34754
100,2.13404;2.16604;4.33154
