round,total_ul_rbg
1,35183
2,37024
3,42774
4,41263
5,49479
6,45528
7,48868
8,30669
9,30035
10,55163
11,58967
12,32578
13,22222
14,44931
15,61676
16,24906
17,31642
18,50732
19,32959
20,34559
21,31307
22,56821
23,56729
24,42041
25,69380
26,55985
27,38747
28,34905
29,52947
30,38726
31,30329
32,62684
33,55781
34,50223
35,41604
36,30504
37,35311
38,30138
39,59722
40,60114
41,43766
42,62317
43,30764
44,18579
45,53724
46,43755
47,40718
48,36211
49,39139
50,47860
51,32041
52,33323
53,30010
54,42159
55,35136
56,47319
57,51988
58,40297
59,41603
60,39991
61,38222
62,42411
63,43439
64,44579
65,40374
66,18700
67,41143
68,27205
69,33097
70,33446
71,19443
72,54685
73,39957
74,40939
75,48612
76,31241
77,46475
78,18496
79,46019
80,46209
81,48109
82,33058
83,18040
84,37319
85,29399
86,27115
87,39854
88,22943
89,37273
90,19733
91,50934
92,48143
93,29218
94,19886
95,30352
96,50250
97,31988
98,42689
99,20746
100,31537
