round,total_ul_rbg
1,52343
2,43609
3,43258
4,35348
5,36291
6,35038
7,35911
8,36651
9,34174
10,35655
11,36827
12,35883
13,34262
14,38079
15,33538
16,23556
17,24516
18,25513
19,24663
20,25178
21,23745
22,24804
23,24709
24,25629
25,25903
26,24737
27,24726
28,24404
29,25077
30,24889
31,23628
32,21874
33,25303
34,24797
35,24727
36,23474
37,23481
38,24331
39,22693
40,20742
41,25101
42,26127
43,25127
44,24166
45,24776
46,24678
47,23334
48,23320
49,23710
50,23885
51,25397
52,24571
53,23809
54,24418
55,24805
56,25541
57,24338
58,24117
59,24167
60,23493
61,25200
62,23964
63,24945
64,24510
65,23741
66,24314
67,24301
68,23049
69,23769
70,24455
71,23588
72,25286
73,24431
74,24307
75,24797
76,23317
77,18855
78,13449
79,13878
80,13685
81,13330
82,13064
83,13283
84,13354
85,12709
86,12952
87,12885
88,13976
89,13318
90,13559
91,13368
92,13255
93,14139
94,13486
95,12734
96,13706
97,13728
98,13459
99,14162
100,13559
